source_vocabulary_id,source_code,n_events
ATC,A01AB04,12576
ATC,A01AB09,34357
ATC,A01AB10,7118
ATC,A01AB17,25
ATC,A01AC01,3192
ATC,A02AD01,25
ATC,A02AG,476
ATC,A02BA01,630
ATC,A02BA02,188091
ATC,A02BA03,21968
ATC,A02BA04,37411
ATC,A02BA07,554
ATC,A02BB01,2490
ATC,A02BC01,393436
ATC,A02BC02,1308089
ATC,A02BC03,470218
ATC,A02BC04,71428
ATC,A02BC05,829002
ATC,A02BD,185
ATC,A02BD01,1011
ATC,A02BD02,3417
ATC,A02BD03,12684
ATC,A02BD07,7865
ATC,A02BDXX,5603
ATC,A02BX,1933
ATC,A02BX02,16190
ATC,A02BX05,1936
ATC,A03AB02,64
ATC,A03AD01,611
ATC,A03AX03,86
ATC,A03BA03,3130
ATC,A03BB01,724
ATC,A03CA02,31992
ATC,A03CA03,64
ATC,A03CA05,5031
ATC,A03CA07,394
ATC,A03DA02,3884
ATC,A03FA01,102102
ATC,A03FA02,43026
ATC,A04AA01,27008
ATC,A04AA02,21986
ATC,A04AA03,1221
ATC,A04AA55,10201
ATC,A04AD01,850
ATC,A04AD12,8682
ATC,A04AD14,78
ATC,A05AA02,53210
ATC,A06AC01,241097
ATC,A06AC07,853
ATC,A06AC51,26422
ATC,A06AD11,154240
ATC,A06AD12,353
ATC,A06AG10,309
ATC,A06AH03,2581
ATC,A06AX04,1161
ATC,A07AA02,22211
ATC,A07AA09,3370
ATC,A07AA11,688
ATC,A07AA12,58
ATC,A07DA01,589
ATC,A07DA02,219
ATC,A07DA03,14462
ATC,A07EA01,2551
ATC,A07EA02,16524
ATC,A07EA06,29189
ATC,A07EB01,394
ATC,A07EC01,303635
ATC,A07EC02,346896
ATC,A07EC03,3807
ATC,A08AA01,614
ATC,A08AA02,2500
ATC,A08AA04,413
ATC,A08AA10,2229
ATC,A08AB01,4957
ATC,A08AX01,150
ATC,A09AA02,32710
ATC,A10AA01,46928
ATC,A10AA02,54947
ATC,A10AA03,8223
ATC,A10AA04,413
ATC,A10AB01,113243
ATC,A10AB04,203883
ATC,A10AB05,287692
ATC,A10AB06,17910
ATC,A10AC01,319198
ATC,A10AC30,1489
ATC,A10AD01,45689
ATC,A10AD04,6185
ATC,A10AD05,34856
ATC,A10AE01,786
ATC,A10AE02,61
ATC,A10AE04,407865
ATC,A10AE05,218626
ATC,A10AE06,22365
ATC,A10BA02,1582057
ATC,A10BB01,113146
ATC,A10BB02,31
ATC,A10BB07,27963
ATC,A10BB12,234975
ATC,A10BD03,19210
ATC,A10BD05,7868
ATC,A10BD07,117698
ATC,A10BD08,19221
ATC,A10BD09,237
ATC,A10BD10,524
ATC,A10BD11,4226
ATC,A10BD13,179
ATC,A10BD15,5374
ATC,A10BD19,652
ATC,A10BD20,7124
ATC,A10BD21,100
ATC,A10BG02,13620
ATC,A10BG03,49425
ATC,A10BH01,277667
ATC,A10BH02,40163
ATC,A10BH03,2430
ATC,A10BH04,610
ATC,A10BH05,84732
ATC,A10BJ01,14207
ATC,A10BJ02,40507
ATC,A10BJ03,119
ATC,A10BJ05,9206
ATC,A10BJ06,17632
ATC,A10BK01,48270
ATC,A10BK02,1009
ATC,A10BK03,88745
ATC,A10BK04,135
ATC,A10BX01,31156
ATC,A10BX02,17165
ATC,A10BX03,502
ATC,A10BX04,12199
ATC,A10BX07,11216
ATC,A10BX09,5741
ATC,A10BX10,28
ATC,A10BX12,232
ATC,A11CC02,8544
ATC,A11CC03,40373
ATC,A11CC05,208
ATC,A11DB,380
ATC,A11JC,108
ATC,A12AA03,21
ATC,A12AA04,31142
ATC,A12AA06,2127
ATC,A12AA12,1698
ATC,A12AX,985631
ATC,A12BA01,64601
ATC,A12BA02,22
ATC,A12CB01,117
ATC,A14AB01,1063
ATC,A16AX03,108
