source_vocabulary_id,source_code,n_events,n_persons
ATC,M01AE01,3266536,414189
ATC,N02BE01,3182333,397852
ATC,J01CA04,1373806,368193
ATC,J01DB01,1297606,367798
ATC,J01AA02,1123087,322668
ATC,J01CE02,676378,290238
ATC,A02BC02,2392326,269586
ATC,M01AB05,1010649,265229
ATC,J01DA01,531712,249782
ATC,M03BX02,997484,247451
ATC,M01AH05,1060557,241515
ATC,J01FA10,630327,235093
ATC,M01AE02,789525,227053
ATC,R03AC02,1768941,217906
ATC,J01CR02,468227,208437
ATC,H02AB06,963240,176787
ATC,R01AD09,780381,173425
ATC,R06AE07,1031052,168507
ATC,C07AB07,4482485,165379
ATC,N02AA59,603868,164186
ATC,E0000UV,1141467,156729
ATC,N02AJ06,675352,155131
ATC,N02AX02,820108,154417
ATC,S01XA20,1073025,145384
ATC,A02BC05,1307730,144240
ATC,P01AB01,266707,144090
ATC,J01CA08,496052,143085
ATC,J01FA06,245400,141551
ATC,J02AC01,538830,141348
ATC,R05FA02,250488,140944
ATC,G03CA03,2815905,138233
ATC,J01MA02,293493,136639
ATC,C10AA05,2544862,132774
ATC,C10AA01,3199825,130775
ATC,D07AC01,411693,126988
ATC,M01AE03,365248,126624
ATC,R05FB02,213064,124908
ATC,M01AC06,333703,120992
ATC,C08CA01,2414007,120771
ATC,N06AX11,1145296,119884
ATC,M02AA07,285009,118966
ATC,R01AD12,460709,114234
ATC,S01CA01,207729,109838
ATC,J01FA09,180821,108935
ATC,N05CF01,1528347,107969
ATC,A12AX,1749971,104736
ATC,R06AX27,558104,102554
ATC,B01AB05,293997,102226
ATC,D07AB02,243466,101356
ATC,R01AD08,533657,99218
ATC,C10AA07,1376476,98035
ATC,D07AC13,274657,97931
ATC,R01BA52,263346,97824
ATC,J01EE02,184549,97135
ATC,A02BC03,679274,92816
ATC,J01FF01,178342,91292
ATC,J01DA09,131305,91189
ATC,A02BC01,576994,90857
ATC,M03BC51,194795,90778
ATC,C03CA01,1548124,90284
ATC,N05BA04,1044816,87583
ATC,A10BA02,2658764,87430
ATC,J01EA01,273538,85797
ATC,R05DA20,125254,85711
ATC,R01AD58,325852,85216
ATC,A06AC01,419303,82079
ATC,D01BA02,207934,81469
ATC,C09CA01,1555315,76089
ATC,C09CA06,1392361,74698
ATC,M03BC01,155472,74459
ATC,D01AC20,149134,74279
ATC,H03AA01,3466055,72931
ATC,N03AX16,769373,72895
ATC,C09AA05,1576296,72435
ATC,M01AX17,127217,71113
ATC,N06AB10,802938,70719
ATC,J05AB01,272148,69656
ATC,A03FA01,158682,69070
ATC,C01DA08,525022,68707
ATC,R03AK07,767983,67663
ATC,G04CA02,890645,66888
ATC,C07AA05,531749,66860
ATC,N06AB04,907699,66679
ATC,E000001,293346,66142
ATC,S01GX01,262702,65877
ATC,R03BA05,651633,59350
ATC,N05AH04,1022237,58078
ATC,C07AB02,1616286,58046
ATC,R03BA02,564693,56751
ATC,A02BA02,234869,56156
ATC,J01MA12,95976,54954
ATC,C09AA02,1177477,54925
ATC,R06AX22,310630,53614
ATC,N05CF02,617811,53552
