source_vocabulary_id,source_code,n_events
ATC,A01A,1331
ATC,A01AA01,357
ATC,A01AA03,342
ATC,A01AA30,21
ATC,A01AA51,315
ATC,A01AB03,4181
ATC,A01AB04,1685
ATC,A01AB09,1771
ATC,A01AB11,30
ATC,A01AC01,173
ATC,A01AD,1868
ATC,A01AD11,450
ATC,A02AA04,13282
ATC,A02AD01,744
ATC,A02AH,2037
ATC,A02BA02,6339
ATC,A02BA03,1749
ATC,A02BA53,7
ATC,A02BB01,13134
ATC,A02BC01,47329
ATC,A02BC02,256080
ATC,A02BC03,10301
ATC,A02BC04,2714
ATC,A02BC05,58276
ATC,A02BD02,60
ATC,A02BD03,536
ATC,A02BD07,1888
ATC,A02BDXX,129
ATC,A02BX02,2104
ATC,A02BX13,34136
ATC,A03AA07,6
ATC,A03AB02,6034
ATC,A03AX,12
ATC,A03AX13,12161
ATC,A03AX15,34
ATC,A03BA01,5027
ATC,A03BB01,3279
ATC,A03CA02,2473
ATC,A03DA02,145885
ATC,A03FA01,172833
ATC,A03FA02,686
ATC,A03FA03,219
ATC,A04AA01,203001
ATC,A04AA02,36045
ATC,A04AA03,317
ATC,A04AA05,717
ATC,A04AA55,3254
ATC,A04AD01,3019
ATC,A04AD11,31
ATC,A04AD12,11966
ATC,A04AD14,46
ATC,A05AA02,5054
ATC,A06AB02,2400
ATC,A06AB06,65
ATC,A06AB08,29408
ATC,A06AB56,159
ATC,A06AB58,838
ATC,A06AC01,22630
ATC,A06AC51,1305
ATC,A06AD10,58
ATC,A06AD11,65994
ATC,A06AD15,125727
ATC,A06AD65,12588
ATC,A06AG02,1704
ATC,A06AG10,8287
ATC,A06AG11,8137
ATC,A06AH01,1047
ATC,A06AH03,3832
ATC,A06AX04,156
ATC,A06AX05,93
ATC,A07AA02,7962
ATC,A07AA06,59
ATC,A07AA09,2294
ATC,A07AA11,1301
ATC,A07AA12,112
ATC,A07BA01,5403
ATC,A07CA,598
ATC,A07DA03,34211
ATC,A07DA53,386
ATC,A07EA02,1750
ATC,A07EA06,4596
ATC,A07EB01,73
ATC,A07EC,51
ATC,A07EC01,19928
ATC,A07EC02,24742
ATC,A07EC03,41
ATC,A07FA,56
ATC,A07FA01,16367
ATC,A07FA02,10361
ATC,A07XA04,3904
ATC,A08AA62,121
ATC,A08AB01,207
ATC,A09AA02,6991
ATC,A09AA04,135
ATC,A09AB,19
ATC,A10AB01,3319
ATC,A10AB04,5452
ATC,A10AB05,95649
ATC,A10AB06,2443
ATC,A10AC01,14528
ATC,A10AD04,76
ATC,A10AD05,1291
ATC,A10AE04,29492
ATC,A10AE05,19209
ATC,A10AE06,5006
ATC,A10BA02,54917
ATC,A10BB01,84
ATC,A10BB07,86
ATC,A10BB12,2895
ATC,A10BD03,46
ATC,A10BD05,156
ATC,A10BD07,4100
ATC,A10BD08,1058
ATC,A10BD09,29
