source_vocabulary_id,source_code,n_events
ATC,A01A,56
ATC,A01AA01,859
ATC,A01AA03,95
ATC,A01AA51,90
ATC,A01AB,88
ATC,A01AB03,1978
ATC,A01AB04,140
ATC,A01AB09,1575
ATC,A01AB11,41
ATC,A01AC01,373
ATC,A01AD02,7
ATC,A01AD11,1384
ATC,A02AA04,3504
ATC,A02AD01,1552
ATC,A02AH,1276
ATC,A02AX,69
ATC,A02BA02,4341
ATC,A02BA03,470
ATC,A02BA53,13
ATC,A02BB01,15458
ATC,A02BC01,16554
ATC,A02BC02,305979
ATC,A02BC03,11950
ATC,A02BC04,9907
ATC,A02BC05,61981
ATC,A02BD02,50
ATC,A02BD03,710
ATC,A02BD07,2680
ATC,A02BX,26
ATC,A02BX02,1489
ATC,A02BX13,32746
ATC,A03AB02,4542
ATC,A03AD01,100
ATC,A03AX,20
ATC,A03AX13,6122
ATC,A03AX15,52
ATC,A03BA01,4789
ATC,A03BB01,754
ATC,A03CA02,3626
ATC,A03DA02,59793
ATC,A03FA01,101534
ATC,A03FA02,179
ATC,A03FA03,111
ATC,A04AA01,268086
ATC,A04AA02,41912
ATC,A04AA03,8010
ATC,A04AA05,1296
ATC,A04AA55,3300
ATC,A04AD01,1996
ATC,A04AD12,4499
ATC,A04AD14,16
ATC,A05AA02,7701
ATC,A05AA04,11
ATC,A06AB02,4805
ATC,A06AB06,264
ATC,A06AB08,71835
ATC,A06AB56,342
ATC,A06AB58,1110
ATC,A06AC01,21471
ATC,A06AC51,3220
ATC,A06AD10,1829
ATC,A06AD11,85594
ATC,A06AD15,65431
ATC,A06AD17,461
ATC,A06AD65,38401
ATC,A06AG02,2033
ATC,A06AG10,6529
ATC,A06AG11,5109
ATC,A06AH01,1134
ATC,A06AH03,2761
ATC,A06AX01,118
ATC,A06AX04,154
ATC,A06AX05,369
ATC,A07AA02,15667
ATC,A07AA06,99
ATC,A07AA09,3803
ATC,A07AA11,792
ATC,A07AA12,788
ATC,A07BA01,1443
ATC,A07CA,394
ATC,A07DA03,19677
ATC,A07DA06,17
ATC,A07DA53,250
ATC,A07EA02,1230
ATC,A07EA06,11225
ATC,A07EB01,56
ATC,A07EC01,21785
ATC,A07EC02,29870
ATC,A07EC03,311
ATC,A07FA,324
ATC,A07FA01,65510
ATC,A07FA02,23256
ATC,A07FA51,529
ATC,A07XA04,1736
ATC,A08AA62,88
ATC,A08AB01,230
ATC,A09AA02,6556
ATC,A09AA04,81
ATC,A09AB01,6
ATC,A10AB01,29857
ATC,A10AB02,6
ATC,A10AB04,12351
ATC,A10AB05,78264
ATC,A10AB06,3992
ATC,A10AC01,15390
ATC,A10AD01,57
ATC,A10AD04,232
ATC,A10AD05,1926
ATC,A10AE02,27
ATC,A10AE04,66923
ATC,A10AE05,32725
ATC,A10AE06,5886
ATC,A10BA02,72370
ATC,A10BB01,187
ATC,A10BB07,262
ATC,A10BB12,5311
ATC,A10BD03,127
ATC,A10BD05,271
ATC,A10BD07,4976
ATC,A10BD08,752
ATC,A10BD11,175
ATC,A10BD15,326
ATC,A10BD19,34
ATC,A10BD20,342
ATC,A10BF01,28
ATC,A10BG02,50
ATC,A10BG03,1666
ATC,A10BH01,16961
ATC,A10BH02,2530
ATC,A10BH03,77
ATC,A10BH04,32
ATC,A10BH05,5902
ATC,A10BJ01,331
ATC,A10BJ02,1678
ATC,A10BJ03,17
ATC,A10BJ05,729
ATC,A10BJ06,3675
ATC,A10BK01,3826
ATC,A10BK02,151
ATC,A10BK03,5109
ATC,A10BX,7
ATC,A10BX01,187
ATC,A10BX02,541
ATC,A10BX03,9
ATC,A10BX04,1105
ATC,A10BX07,1725
ATC,A10BX09,547
ATC,A10BX10,55
ATC,A10BX12,357
ATC,A10BX14,19
ATC,A11,16
ATC,A11AA03,56
ATC,A11AA04,12449
ATC,A11BA,92
ATC,A11CA01,22
ATC,A11CB,575
ATC,A11CC01,1425
ATC,A11CC02,1339
ATC,A11CC03,8465
ATC,A11CC05,40737
ATC,A11DA,10
ATC,A11DA01,30388
ATC,A11DB,11481
ATC,A11EA,6407
ATC,A11EB,1224
ATC,A11EX,1157
ATC,A11GA01,3396
ATC,A11HA02,1131
ATC,A11HA03,244
ATC,A11HA04,30
ATC,A11HA05,145
ATC,A11HA30,148
ATC,A11J,768
ATC,A11JC,3196
ATC,A12AA01,147
ATC,A12AA02,1946
ATC,A12AA04,13787
ATC,A12AA06,192
ATC,A12AA12,184
ATC,A12AA13,13
ATC,A12AX,150136
ATC,A12BA01,95600
ATC,A12BA02,121
ATC,A12BA51,497
ATC,A12CA01,1839
ATC,A12CB,138
ATC,A12CB01,80
ATC,A12CC04,1348
ATC,A12CC10,123
ATC,A12CE,190
ATC,A12CX,5780
ATC,A14AA08,6
ATC,A14AB01,506
ATC,A16A,9
ATC,A16AA01,60
ATC,A16AA04,7
ATC,A16AA06,20
ATC,A16AB,107
ATC,A16AB02,6
ATC,A16AB03,23
ATC,A16AB04,91
ATC,A16AB10,8
ATC,A16AX03,117
ATC,A16AX04,47
ATC,A16AX05,35
ATC,A16AX06,10
ATC,A16AX08,9
ATC,A16AX09,24
ATC,B01AA03,104348
ATC,B01AB01,8189
ATC,B01AB02,290
ATC,B01AB04,33700
ATC,B01AB05,277885
ATC,B01AB09,8
ATC,B01AB10,16822
ATC,B01AC04,54793
ATC,B01AC06,120999
ATC,B01AC07,3278
ATC,B01AC11,246
ATC,B01AC13,14
ATC,B01AC17,400
ATC,B01AC21,71
ATC,B01AC22,2127
ATC,B01AC24,6684
ATC,B01AC25,64
ATC,B01AC27,102
ATC,B01AC30,12956
ATC,B01AD02,1145
ATC,B01AD07,46
ATC,B01AD11,19
ATC,B01AE03,7
ATC,B01AE06,1971
ATC,B01AE07,6720
ATC,B01AF01,62528
ATC,B01AF02,24713
ATC,B01AF03,1282
ATC,B01AX01,121
ATC,B01AX05,199
ATC,B01AX06,6784
ATC,B02AA02,25666
ATC,B02BA01,8425
ATC,B02BB01,108
ATC,B02BC02,164
ATC,B02BC07,67
ATC,B02BC30,409
ATC,B02BD01,3362
ATC,B02BD02,584
ATC,B02BD03,86
ATC,B02BD04,47
ATC,B02BD06,475
ATC,B02BD07,222
ATC,B02BD08,37
ATC,B02BD09,37
ATC,B02BD30,12
ATC,B02BX04,407
ATC,B02BX05,898
ATC,B03A,13
ATC,B03AA01,32051
ATC,B03AA03,8
ATC,B03AA07,4804
ATC,B03AB05,2701
ATC,B03AB10,21
ATC,B03AC,14118
ATC,B03AC01,2044
ATC,B03AC02,1746
ATC,B03AC06,9
ATC,B03AD01,575
ATC,B03AE03,172
ATC,B03BA01,7372
ATC,B03BA02,125
ATC,B03BA03,17131
ATC,B03BB01,37810
ATC,B03XA01,4328
ATC,B03XA02,16222
ATC,B03XA03,2998
ATC,B05,24
ATC,B05AA01,9701
ATC,B05AA02,81
ATC,B05AA05,27
ATC,B05AA06,6
ATC,B05AA07,104
ATC,B05AX03,6
ATC,B05BA01,30
ATC,B05BA02,116
ATC,B05BA03,278
ATC,B05BA10,10485
ATC,B05BB01,5624
ATC,B05BB02,882
ATC,B05BC01,663
ATC,B05CA05,712
ATC,B05CB01,947
ATC,B05CB02,51
ATC,B05CB04,44
ATC,B05D,37
ATC,B05DA,4430
ATC,B05DB,3164
ATC,B05XA01,9027
ATC,B05XA03,3600
ATC,B05XA05,2141
ATC,B05XA06,1183
ATC,B05XA11,113
ATC,B05XA14,855
ATC,B05XA31,2623
ATC,B05XB01,251
ATC,B05XB02,71
ATC,B05XC,5370
ATC,B05ZA,273
ATC,B06AC01,39
ATC,B06AC02,50
ATC,C01AA05,27670
ATC,C01B,346
ATC,C01BA01,55
ATC,C01BA03,74
ATC,C01BB01,49
ATC,C01BB02,95
ATC,C01BC03,131
ATC,C01BC04,5513
ATC,C01BD01,10004
ATC,C01BD05,7
ATC,C01BD07,787
ATC,C01BG11,100
ATC,C01CA01,1758
ATC,C01CA02,847
ATC,C01CA03,11192
ATC,C01CA04,127
ATC,C01CA06,15
ATC,C01CA07,72
ATC,C01CA17,46
ATC,C01CA24,11330
ATC,C01CA26,1997
ATC,C01CE02,111
ATC,C01CX08,1788
ATC,C01DA02,16092
ATC,C01DA08,58209
ATC,C01DA14,37354
ATC,C01EB02,13
ATC,C01EB09,19
ATC,C01EB10,971
ATC,C01EB17,60
ATC,C02AC01,9330
ATC,C02AC02,1123
ATC,C02AC05,4082
ATC,C02CA01,11543
ATC,C02CA04,112
ATC,C02DA01,179
ATC,C02DB01,70
ATC,C02DC01,22
ATC,C02DD01,100
ATC,C02KX01,302
ATC,C02KX02,86
ATC,C02KX04,138
ATC,C02KX05,257
ATC,C03AA03,14190
ATC,C03BA08,6305
ATC,C03BA11,828
ATC,C03CA01,354385
ATC,C03DA01,34233
ATC,C03DA04,133
ATC,C03DB01,128
ATC,C03EA01,9453
ATC,C03EA02,518
ATC,C03EB01,11618
ATC,C03XA01,135
ATC,C04AD03,883
ATC,C04AE01,67
ATC,C04AX02,95
ATC,C05AA01,388
ATC,C05AA04,3358
ATC,C05AA08,4414
ATC,C05AE01,283
ATC,C05AX03,13
ATC,C05BA01,1634
ATC,C05BA04,12
ATC,C05BB02,612
ATC,C05BB04,152
ATC,C07AA03,273
ATC,C07AA05,44880
ATC,C07AA07,2024
ATC,C07AB02,71496
ATC,C07AB03,6703
ATC,C07AB04,372
ATC,C07AB05,1167
ATC,C07AB07,207051
ATC,C07AB08,1978
ATC,C07AB12,2798
ATC,C07AG01,25455
ATC,C07AG02,11125
ATC,C07BB02,509
ATC,C07BB07,2730
ATC,C07BB12,99
ATC,C07FB02,1953
ATC,C08CA01,92211
ATC,C08CA02,11052
ATC,C08CA03,381
ATC,C08CA04,134
ATC,C08CA05,7755
ATC,C08CA06,1884
ATC,C08CA07,245
ATC,C08CA10,820
ATC,C08CA13,18746
ATC,C08DA01,6337
ATC,C08DB01,3618
ATC,C09AA01,214
ATC,C09AA02,32756
ATC,C09AA03,3419
ATC,C09AA04,8700
ATC,C09AA05,84602
ATC,C09AA06,121
ATC,C09BA02,8773
ATC,C09BA03,1482
ATC,C09BA04,2099
ATC,C09BA05,1420
ATC,C09BA06,115
ATC,C09BB02,324
ATC,C09BB04,912
ATC,C09BB05,156
ATC,C09BX01,285
ATC,C09BX02,21
ATC,C09CA01,46821
ATC,C09CA02,711
ATC,C09CA03,14190
ATC,C09CA06,42881
ATC,C09CA07,8997
ATC,C09CA08,1278
ATC,C09DA01,15294
ATC,C09DA02,630
ATC,C09DA03,5344
ATC,C09DA06,10624
ATC,C09DA07,5007
ATC,C09DA08,331
ATC,C09DB01,3224
ATC,C09DB02,185
ATC,C09DX01,2367
ATC,C09DX04,1244
ATC,C09XA02,29
ATC,C10AA01,71104
ATC,C10AA02,980
ATC,C10AA03,3349
ATC,C10AA04,4993
ATC,C10AA05,87792
ATC,C10AA07,27161
ATC,C10AB02,268
ATC,C10AB04,60
ATC,C10AB05,928
ATC,C10AC01,3407
ATC,C10AD52,8
ATC,C10AX09,6369
ATC,C10AX13,135
ATC,C10AX14,79
ATC,C10BA02,58
ATC,C10BA06,66
ATC,C10BX11,68
ATC,C10BX15,16
ATC,D,20
ATC,D01,19
ATC,D01AA02,199
ATC,D01AC01,402
ATC,D01AC02,4934
ATC,D01AC03,82
ATC,D01AC07,267
ATC,D01AC08,1503
ATC,D01AC20,12487
ATC,D01AE12,57
ATC,D01AE14,161
ATC,D01AE15,2814
ATC,D01AE16,688
ATC,D01BA02,3381
ATC,D02AB,18
ATC,D02AE01,5462
ATC,D02AE51,120
ATC,D02AX,4946
ATC,D03A,136
ATC,D03AX,30
ATC,D03AX01,177
ATC,D03AX03,1123
ATC,D03AX05,55
ATC,D03BA02,972
ATC,D04AB01,632
ATC,D05AX02,384
ATC,D05AX03,1829
ATC,D05AX52,6418
ATC,D05BB02,4737
ATC,D05BX,8
ATC,D06AX01,12200
ATC,D06AX04,678
ATC,D06AX07,351
ATC,D06AX09,320
ATC,D06AX11,12
ATC,D06BA01,506
ATC,D06BB03,990
ATC,D06BB04,2447
ATC,D06BB06,12
ATC,D06BB10,1600
ATC,D06BB53,7
ATC,D06BX01,1712
ATC,D06BX02,201
ATC,D07AA02,7473
ATC,D07AB01,136
ATC,D07AB02,9384
ATC,D07AB08,11474
ATC,D07AC01,18133
ATC,D07AC03,22
ATC,D07AC13,15327
ATC,D07AC14,119
ATC,D07AD01,11174
ATC,D07BA04,2859
ATC,D07BB04,7120
ATC,D07BC01,5471
