sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages
INPAT-1,INPAT - Service Sector: Hospital / health center ward,3011131,,0,APPROVED,UNREVIEWED,Sam,1674691200000,8717,Inpatient Hospital,Visit,MAPS_TO,,Javier,1674691200000,,2002300101,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,INPAT|INPAT-0,,INPAT - Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,
INPAT-1,INPAT - Service Sector: Hospital / health center ward,3011131,,0,APPROVED,UNREVIEWED,Sam,1674691200000,8756,Outpatient Hospital,Visit,MAPS_TO,,Javier,1674691200000,,2002300101,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,INPAT|INPAT-0,,INPAT - Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,
OUTPAT-1,OUTPAT - Service Sector: Hospital / health center ward,0,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2002300102,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OUTPAT|OUTPAT-0,,OUTPAT - Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,
OPER_IN-1,OPER_IN - Service Sector: Hospital / health center ward,3274179,,0,APPROVED,UNREVIEWED,Sam,1674691200000,8717,Inpatient Hospital,Visit,MAPS_TO,,Javier,1674691200000,,2002300103,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OPER_IN|OPER_IN-0,,OPER_IN - Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,
OPER_IN-1,OPER_IN - Service Sector: Hospital / health center ward,3274179,,0,APPROVED,UNREVIEWED,Sam,1674691200000,8756,Outpatient Hospital,Visit,MAPS_TO,,Javier,1674691200000,,2002300103,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OPER_IN|OPER_IN-0,,OPER_IN - Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,
OPER_OUT-1,OPER_OUT - Service Sector: Hospital / health center ward,0,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2002300104,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OPER_OUT|OPER_OUT-0,,OPER_OUT - Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,
INPAT-2,INPAT - Service Sector: Day surgery,25363,,0,FLAGGED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,,2002300105,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,INPAT|INPAT-0,,INPAT - Palvelua: Päiväkirurgia,WARNING: OUTDATED: conceptName for conceptId 9202 is different in the target vocabularies
OUTPAT-2,OUTPAT - Service Sector: Day surgery,517002,,0,FLAGGED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,,2002300106,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OUTPAT|OUTPAT-0,,OUTPAT - Palvelua: Päiväkirurgia,WARNING: OUTDATED: conceptName for conceptId 9202 is different in the target vocabularies
OPER_IN-2,OPER_IN - Service Sector: Day surgery,20376,,0,FLAGGED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,,2002300107,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OPER_IN|OPER_IN-0,,OPER_IN - Palvelua: Päiväkirurgia,WARNING: OUTDATED: conceptName for conceptId 9202 is different in the target vocabularies
OPER_OUT-2,OPER_OUT - Service Sector: Day surgery,1007294,,0,FLAGGED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,,2002300108,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,OPER_OUT|OPER_OUT-0,,OPER_OUT - Palvelua: Päiväkirurgia,WARNING: OUTDATED: conceptName for conceptId 9202 is different in the target vocabularies
