sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages
1390,Colposcopy,0,,1,UNCHECKED,UNREVIEWED,,0,4189586,Colposcopy,Procedure,MAPS_TO,,<auto>,1642063477321,,2000100152,FHL,Procedure,1970-01-01,2099-12-31,,,Kolposkopia,
1400,Goldoscopy,0,,0.75,UNCHECKED,UNREVIEWED,,0,4195717,Endoscopy of cul-de-sac,Procedure,MAPS_TO,,<auto>,1642063477690,,2000100153,FHL,Procedure,1970-01-01,2099-12-31,,,Kuldoskopia,
6525,Enterostomy occlusion,0,,0.63,UNCHECKED,UNREVIEWED,,0,4098910,Tubal occlusion,Procedure,MAPS_TO,,<auto>,1642063478108,,2000101022,FHL,Procedure,1970-01-01,2099-12-31,,,Enterostooman sulku,
4453,Other and tonsil surgery,89,,0.55,UNCHECKED,UNREVIEWED,,0,4261829,Laser surgery,Procedure,MAPS_TO,,<auto>,1642063478126,,2000100612,FHL,Procedure,1970-01-01,2099-12-31,,,Kita- ja nielurisaleikka,
3271,Carrier and / or carrier plastic,0,,0.37,UNCHECKED,UNREVIEWED,,0,4016891,Isolation of infection carrier,Procedure,MAPS_TO,,<auto>,1642063478249,,2000100356,FHL,Procedure,1970-01-01,2099-12-31,,,Kantotomia ja/tai kantusplastia,
2123,"Intracranial pressure measurement, epidural",0,,0.56,UNCHECKED,UNREVIEWED,,0,4052738,Intracranial pressure monitor removal,Procedure,MAPS_TO,,<auto>,1642063478480,,2000100203,FHL,Procedure,1970-01-01,2099-12-31,,,"Kallonsisäinen paineenmittaus, epiduraalinen",
9125,"Large gypsum (gypsum corset, Minervak ​​gypsum or similar)",0,,0.23,UNCHECKED,UNREVIEWED,,0,4294857,Dissimilar target test,Procedure,MAPS_TO,,<auto>,1642063478704,,2000101432,FHL,Procedure,1970-01-01,2099-12-31,,,"Suuri kipsaus (kipsikorsetti, Minervakipsi tai vastaava)",
7322,TU cervical electrosection or discission,0,,0.47,FLAGGED,UNREVIEWED,,0,4121773,Cervical electroconization,Procedure,MAPS_TO,,<auto>,1642063478805,,2000101176,FHL,Procedure,1970-01-01,2099-12-31,,,TU rakonkaulan elektroresektio tai diskissio,WARNING: OUTDATED: standard_concept for conceptId 4121773 has changed to non-standard
1401,Goldoscopy and sterilization,0,,0.63,UNCHECKED,UNREVIEWED,,0,4152802,Endoscopy and catheterization,Procedure,MAPS_TO,,<auto>,1642063479088,,2000100154,FHL,Procedure,1970-01-01,2099-12-31,,,Kuldoskopia ja sterilisaatio,
9477,"Cleansing or splitting of a tendon or tendon sheath (eg tenosynovectomy, tenolysis)",16,,0.5,UNCHECKED,UNREVIEWED,,0,4143192,Synovectomy of tendon sheath,Procedure,MAPS_TO,,<auto>,1642063479210,,2000101586,FHL,Procedure,1970-01-01,2099-12-31,,,"Jänteen tai jännetupen puhdistusleikkaus tai halkaisu (esim. tenosynovektomia, tenolyysi)",
1410,Laparoscopy,246,,1,UNCHECKED,UNREVIEWED,,0,4251314,Laparoscopy,Procedure,MAPS_TO,,<auto>,1642063479655,,2000100155,FHL,Procedure,1970-01-01,2099-12-31,,,Laparoskopia,
3272,Epicancer correction surgery,0,,0.45,FLAGGED,UNREVIEWED,,0,4136058,Correction of trichiasis by epilation with electrosurgery,Procedure,MAPS_TO,,<auto>,1642063479715,,2000100357,FHL,Procedure,1970-01-01,2099-12-31,,,Epikantuksen korjausleikkaus,WARNING: OUTDATED: conceptName for conceptId 4136058 is different in the target vocabularies
4454,Opening of peritonsillar diabetes,0,,0.52,UNCHECKED,UNREVIEWED,,0,4314251,Laparotomy,Procedure,MAPS_TO,,<auto>,1642063479715,,2000100613,FHL,Procedure,1970-01-01,2099-12-31,,,Peritonsillariabsessin avaus,
6526,Stooman revision exterior or open burning,0,,0.35,UNCHECKED,UNREVIEWED,,0,4333157,Revision of anterior chamber,Procedure,MAPS_TO,,<auto>,1642063480130,,2000101023,FHL,Procedure,1970-01-01,2099-12-31,,,Stooman revisio ulkokautta tai aukipoltto,
