sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages
241,TVP,0,,0.57,UNCHECKED,UNREVIEWED,,0,4263480,Suprapubic prostatectomy,Procedure,MAPS_TO,,<auto>,1666773764565,,2002100143,HPO2,Procedure,1970-01-01,2099-12-31,,,TVP,
242,TVR,0,,0.55,UNCHECKED,UNREVIEWED,,0,4293619,Repair of tricuspid valve,Procedure,MAPS_TO,,<auto>,1666773766081,,2002100144,HPO2,Procedure,1970-01-01,2099-12-31,,,TVR,
9,Other procedure,0,,0.79,UNCHECKED,UNREVIEWED,,0,2899653,Other Procedures (Procedure),Procedure,MAPS_TO,,<auto>,1666773773386,,2002100101,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu toimenpide,
111,Conventional CABG,0,,0.64,FLAGGED,UNREVIEWED,,0,4116697,Conventional,Observation,MAPS_TO,,<auto>,1666773774563,,2002100129,HPO2,Procedure,1970-01-01,2099-12-31,,,Konventionaalinen CABG,WARNING: OUTDATED: domainId for conceptId 4116697 is different in the target vocabularies
23,Mitral valve plasty,0,,0.69,UNCHECKED,UNREVIEWED,,0,4297236,Mitral valvuloplasty,Procedure,MAPS_TO,,<auto>,1666773774610,,2002100105,HPO1,Procedure,1970-01-01,2099-12-31,,,Hiippaläpän plastia,
42,Thoracic aortic surgery,0,,0.76,UNCHECKED,UNREVIEWED,,0,4252365,Thoracic surgery,Observation,MAPS_TO,,<auto>,1666773775358,,2002100111,HPO1,Procedure,1970-01-01,2099-12-31,,,Rinta-aortan leikkaus,
229,Mitral homograph,0,,0.53,FLAGGED,UNREVIEWED,,0,4060998,Tomography normal,Condition,MAPS_TO,,<auto>,1666773776166,,2002100141,HPO2,Procedure,1970-01-01,2099-12-31,,,Mitraalihomografi,WARNING: OUTDATED: domainId for conceptId 4060998 is different in the target vocabularies
21,Aortic Valve Replacement (AVR),0,,0.66,UNCHECKED,UNREVIEWED,,0,4095407,Replacement of aortic valve,Procedure,MAPS_TO,,<auto>,1666773778876,,2002100103,HPO1,Procedure,1970-01-01,2099-12-31,,,Aorttaläpän vaihto (AVR),
429,Other surgery on the heart or aorta,0,,0.51,UNCHECKED,UNREVIEWED,,0,4094240,Open heart surgery,Procedure,MAPS_TO,,<auto>,1666773782689,,2002100159,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu sydämmen tai aortan kohdistuva leikkaus,
71,Electrophysiological Special Examination,0,,0.68,UNCHECKED,UNREVIEWED,,0,4194672,Specialized medical examination,Procedure,MAPS_TO,,<auto>,1666773783802,,2002100121,HPO1,Procedure,1970-01-01,2099-12-31,,,Elektrofysiologinen erikoistutkimus,
11,Coronary artery bypass surgery,0,,0.74,UNCHECKED,UNREVIEWED,,0,36305599,History of Coronary artery bypass graft surgery,Observation,MAPS_TO,,<auto>,1666773784198,,2002100102,HPO1,Procedure,1970-01-01,2099-12-31,,,Sepelvaltimoleikkaus,
43,Heart transplantation,0,,1,UNCHECKED,UNREVIEWED,,0,4137127,Transplantation of heart,Procedure,MAPS_TO,,<auto>,1666773785202,,2002100112,HPO1,Procedure,1970-01-01,2099-12-31,,,Sydämensiirto,
215,Ross,0,,0.77,FLAGGED,UNREVIEWED,,0,4116700,Gross,Observation,MAPS_TO,,<auto>,1666773786727,,2002100137,HPO2,Procedure,1970-01-01,2099-12-31,,,Ross,WARNING: OUTDATED: domainId for conceptId 4116700 is different in the target vocabularies
112,Off pump CABG via sternotomy,0,,0.45,UNCHECKED,UNREVIEWED,,0,2100872,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator,Procedure,MAPS_TO,,<auto>,1666773787289,,2002100130,HPO2,Procedure,1970-01-01,2099-12-31,,,Off pump CABG stemotomiateitse,
239,Other mitralvalve operation,0,,0.72,UNCHECKED,UNREVIEWED,,0,4337060,Mitral valve operation,Procedure,MAPS_TO,,<auto>,1666773787739,,2002100142,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu mitraaliläppään kohdistuva toimenpide,
24,Multi-valve repair or other valve surgery,0,,0.48,UNCHECKED,UNREVIEWED,,0,4019640,Repair of valve of vein,Procedure,MAPS_TO,,<auto>,1666773788138,,2002100106,HPO1,Procedure,1970-01-01,2099-12-31,,,Usean läpän korjaus tai muu läppäleikkaus,
22,Mitral valve Replacement (MVR),0,,0.65,UNCHECKED,UNREVIEWED,,0,4203153,Replacement of mitral valve,Procedure,MAPS_TO,,<auto>,1666773788752,,2002100104,HPO1,Procedure,1970-01-01,2099-12-31,,,Hiippaläpän vaihto (MVR),
430,HTX (heart transplant),0,,0.76,UNCHECKED,UNREVIEWED,,0,4137127,Transplantation of heart,Procedure,MAPS_TO,,<auto>,1666773789795,,2002100160,HPO2,Procedure,1970-01-01,2099-12-31,,,HTX (sydänsiirto),
31,Congenital heart failure surgery,0,,0.73,UNCHECKED,UNREVIEWED,,0,316139,Heart failure,Condition,MAPS_TO,,<auto>,1666773796534,,2002100109,HPO1,Procedure,1970-01-01,2099-12-31,,,Synnynäisen sydänvian leikkaus,
72,Catheter ablation of arrhythmia,0,,0.83,UNCHECKED,UNREVIEWED,,0,43021509,Catheter ablation of arrhythmogenic focus,Procedure,MAPS_TO,,<auto>,1666773800839,,2002100122,HPO1,Procedure,1970-01-01,2099-12-31,,,Rytmihäiriön katetriablaatio,
252,Pulmonary artery thromboendarterectomy,0,,0.97,UNCHECKED,UNREVIEWED,,0,4143686,Pulmonary thromboendarterectomy,Procedure,MAPS_TO,,<auto>,1666773801353,,2002100147,HPO2,Procedure,1970-01-01,2099-12-31,,,Keuhkovaltimo tromboendarterektomia,
213,"AVR bio, stent-free",0,,0.38,UNCHECKED,UNREVIEWED,,0,4022719,Yeast-free diet,Observation,MAPS_TO,,<auto>,1666773801446,,2002100135,HPO2,Procedure,1970-01-01,2099-12-31,,,"AVR bio, stentitön",
219,Other aortic valve operation,0,,0.77,UNCHECKED,UNREVIEWED,,0,4338441,Operation on aortic valve cusp,Procedure,MAPS_TO,,<auto>,1666773802525,,2002100138,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu aorttaläppään kohdistuva toimenpide,
41,Arrhythmia surgery,0,,0.88,UNCHECKED,UNREVIEWED,,0,37108582,Arrhythmia during surgery,Condition,MAPS_TO,,<auto>,1666773802946,,2002100110,HPO1,Procedure,1970-01-01,2099-12-31,,,Rytmihäiriöleikkaus,
25,Valve and coronary artery bypass surgery,0,,0.64,UNCHECKED,UNREVIEWED,,0,36305599,History of Coronary artery bypass graft surgery,Observation,MAPS_TO,,<auto>,1666773808317,,2002100107,HPO1,Procedure,1970-01-01,2099-12-31,,,Läppä- ja sepelvaltimoleikkaus,
221,MVR mechanical,0,,0.51,UNCHECKED,UNREVIEWED,,0,4129649,Mechanical,Observation,MAPS_TO,,<auto>,1666773809246,,2002100139,HPO2,Procedure,1970-01-01,2099-12-31,,,MVR mek,
424,Reconstruction of the descending thoracic aorta,0,,0.74,UNCHECKED,UNREVIEWED,,0,4050280,Bypass graft of the descending thoracic aorta,Procedure,MAPS_TO,,<auto>,1666773810810,,2002100157,HPO2,Procedure,1970-01-01,2099-12-31,,,Laskevan thorakaaliaortan rekonstruktio,
253,Pulmonary homograph,0,,0.7,FLAGGED,UNREVIEWED,,0,4224157,Arteriography of pulmonary arteries,Procedure,MAPS_TO,,<auto>,1666773810898,,2002100148,HPO2,Procedure,1970-01-01,2099-12-31,,,Pulmonaalihomografi,WARNING: OUTDATED: conceptName for conceptId 4224157 is different in the target vocabularies
214,Aortic homograph,0,,0.57,FLAGGED,UNREVIEWED,,0,4184592,Aortography,Procedure,MAPS_TO,,<auto>,1666773811553,,2002100136,HPO2,Procedure,1970-01-01,2099-12-31,,,Aorttahomografi,WARNING: OUTDATED: conceptName for conceptId 4184592 is different in the target vocabularies
73,Initial pacemaker installation,0,,0.63,UNCHECKED,UNREVIEWED,,0,3181475,Gastric pacemaker insertion,Procedure,MAPS_TO,,<auto>,1666773813947,,2002100123,HPO1,Procedure,1970-01-01,2099-12-31,,,Tahdistimen ensiasennus,
222,MVR bio,0,,0.63,UNCHECKED,UNREVIEWED,,0,4297235,Repair of mitral valve,Procedure,MAPS_TO,,<auto>,1666773814042,,2002100140,HPO2,Procedure,1970-01-01,2099-12-31,,,MVR bio,
113,"Off pump CABG, other eg MIDCAB, LATCAB, LASTCAB, TACAB",0,,0.26,UNCHECKED,UNREVIEWED,,0,2100872,Anesthesia for direct coronary artery bypass grafting; without pump oxygenator,Procedure,MAPS_TO,,<auto>,1666773816618,,2002100131,HPO2,Procedure,1970-01-01,2099-12-31,,,"Off pump CABG, muu esim. MIDCAB, LATCAB, LASTCAB, TACAB",
211,AVR mechanical,0,,0.58,UNCHECKED,UNREVIEWED,,0,4129649,Mechanical,Observation,MAPS_TO,,<auto>,1666773817535,,2002100133,HPO2,Procedure,1970-01-01,2099-12-31,,,AVR mek,
26,"Aortic root ""composite graft""",0,,0.43,UNCHECKED,UNREVIEWED,,0,4339742,Composite aortic root operation,Procedure,MAPS_TO,,<auto>,1666773817915,,2002100108,HPO1,Procedure,1970-01-01,2099-12-31,,,"Aortan tyven ""composite graft""",
53,Use of IABP. As mechanical support,0,,0.35,UNCHECKED,UNREVIEWED,,0,37016956,Monitoring mechanical heart support device,Observation,MAPS_TO,,<auto>,1666773819973,,2002100115,HPO2,Procedure,1970-01-01,2099-12-31,,,IABP:n käyttö. Mekaanisena tukena,
249,Other tricuspid valve repair,0,,0.83,UNCHECKED,UNREVIEWED,,0,4293619,Repair of tricuspid valve,Procedure,MAPS_TO,,<auto>,1666773821430,,2002100145,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu trikuspidaaliläpän korjausleikkaus,
119,Other CABG,0,,0.63,UNCHECKED,UNREVIEWED,,0,36305599,History of Coronary artery bypass graft surgery,Observation,MAPS_TO,,<auto>,1666773822524,,2002100132,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu CABG,
212,"AVR bio, stent",0,,0.37,UNCHECKED,UNREVIEWED,,0,4095407,Replacement of aortic valve,Procedure,MAPS_TO,,<auto>,1666773831472,,2002100134,HPO2,Procedure,1970-01-01,2099-12-31,,,"AVR bio, stentillinen",
51,Other heart surgery,0,,0.76,UNCHECKED,UNREVIEWED,,0,4094240,Open heart surgery,Procedure,MAPS_TO,,<auto>,1666773831581,,2002100113,HPO1,Procedure,1970-01-01,2099-12-31,,,Muu sydänleikkaus,
74,Initial installation of the atrial pacemaker,0,,0.6,FLAGGED,UNREVIEWED,,0,4111551,Wandering atrial pacemaker,Condition,MAPS_TO,,<auto>,1666773834808,,2002100124,HPO1,Procedure,1970-01-01,2099-12-31,,,Eteis-kammiontahdistimen ensiasennus,WARNING: OUTDATED: domainId for conceptId 4111551 is different in the target vocabularies
251,Pulmonary artery or pulmonary artery valve procedure,0,,0.75,UNCHECKED,UNREVIEWED,,0,4336612,Closure of pulmonary valve,Procedure,MAPS_TO,,<auto>,1666773838403,,2002100146,HPO2,Procedure,1970-01-01,2099-12-31,,,Keuhkovaltimoon tai keuhkovaltimoläppään kohdistuva toimenpide,
425,Reconstruction of the descending thoracic aorta with a stent graft,0,,0.67,UNCHECKED,UNREVIEWED,,0,4050280,Bypass graft of the descending thoracic aorta,Procedure,MAPS_TO,,<auto>,1666773838894,,2002100158,HPO2,Procedure,1970-01-01,2099-12-31,,,Laskevan thorakaaliaortan rekonstruktio stenttigraftilla,
83,Multi-vessel balloon catheter extension,0,,0.38,UNCHECKED,UNREVIEWED,,0,4130318,Insertion of balloon catheter into uterine cavity,Procedure,MAPS_TO,,<auto>,1666773841467,,2002100127,HPO1,Procedure,1970-01-01,2099-12-31,,,Usean suonen pallo katetrilaajennus,
419,Other arrhythmia surgery,0,,0.82,UNCHECKED,UNREVIEWED,,0,37108582,Arrhythmia during surgery,Condition,MAPS_TO,,<auto>,1666773846824,,2002100153,HPO2,Procedure,1970-01-01,2099-12-31,,,Muu rytmihäiriöleikkaus,
433,HLTX (Heart Lung Transplant),0,,0.78,UNCHECKED,UNREVIEWED,,0,4138959,Heart-lung transplant with recipient cardiectomy-pneumonectomy,Procedure,MAPS_TO,,<auto>,1666773847495,,2002100163,HPO2,Procedure,1970-01-01,2099-12-31,,,HLTX (sydänkeuhkonsiirto),
62,Catheterization and pressure measurement of the right side of the heart,0,,0.63,UNCHECKED,UNREVIEWED,,0,4223626,Catheterization of right heart,Procedure,MAPS_TO,,<auto>,1666773848399,,2002100119,HPO1,Procedure,1970-01-01,2099-12-31,,,Sydämen oik. puolen katetrointi ja paineet,
81,Angiography of the heart and coronary arteries,0,,0.84,FLAGGED,UNREVIEWED,,0,4306317,CT arteriography of coronary artery with contrast,Procedure,MAPS_TO,,<auto>,1666773855224,,2002100125,HPO1,Procedure,1970-01-01,2099-12-31,,,Sydämen ja sepelvaltimoiden angiografia,WARNING: OUTDATED: conceptName for conceptId 4306317 is different in the target vocabularies
