sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:obsolete_conceptId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
06010,"Yellow fever, Urban",0,,2000300427,"Keltakuume, Urbana",5-char ICD8fi,Condition,1970-01-01,2099-12-31,060,,,0.73,APPROVED,EQUAL,Greta,1721978436899,441210,Yellow fever,Condition,MAPS_TO,,<auto>,1641575248635,
06099,"Yellow fever, Unspecified",9,,2000300429,"Keltakuume, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,060,,,0.65,APPROVED,EQUAL,Greta,1721301103893,441210,Yellow fever,Condition,MAPS_TO,,<auto>,1641575254515,
06000,"Yellow fever, Sylvatic",0,,2000300426,"Keltakuume, Silvatica",5-char ICD8fi,Condition,1970-01-01,2099-12-31,060,,,0.76,APPROVED,EQUAL,Greta,1723017960562,441210,Yellow fever,Condition,MAPS_TO,,Greta,1723017959515,
06097,"Yellow fever, Suspecta",0,,2000300428,"Keltakuume, Suspecta",5-char ICD8fi,Condition,1970-01-01,2099-12-31,060,,,0.81,APPROVED,EQUAL,Greta,1721301112716,36675697,Yellow fever suspected,Observation,MAPS_TO,,<auto>,1641575251963,
060,Yellow fever,0,,2000300425,Keltakuume,3-char ICD8fi,Condition,1970-01-01,2099-12-31,060-068,,,1.00,APPROVED,EQUAL,Javier,1641651726877,441210,Yellow fever,Condition,MAPS_TO,,<auto>,1641575243680,
10299,"Yaws, unspecified",0,,2000300668,Vaapukkasyylätauti,5-char ICD8fi,Condition,1970-01-01,2099-12-31,102,,,0.58,UNCHECKED,UNREVIEWED,,0,4001594,Non-specific,Observation,MAPS_TO,,<auto>,1641573864714,
102,Yaws,0,,2000300667,Vaapukkasyylätauti,3-char ICD8fi,Condition,1970-01-01,2099-12-31,100-104,,,1.00,APPROVED,EQUAL,Javier,1641651726877,432829,Yaws,Condition,MAPS_TO,,<auto>,1641573863029,
03397,"Whooping cough, Suspecta",11,,2000300329,"Hinkuyskä, Suspecta",5-char ICD8fi,Condition,1970-01-01,2099-12-31,033,,,0.73,UNCHECKED,UNREVIEWED,,0,257778,Pertussis,Condition,MAPS_TO,,<auto>,1641574690279,
03390,"Whooping cough, Status post pertussim",0,,2000300327,"Hinkuyskä, Status post pertussim",5-char ICD8fi,Condition,1970-01-01,2099-12-31,033,,,0.62,APPROVED,EQUAL,Greta,1721978467001,257778,Pertussis,Condition,MAPS_TO,,<auto>,1641574682864,
03399,"Whooping cough, Other and unspecified",8,,2000300330,"Hinkuyskä, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,033,,,0.50,UNCHECKED,UNREVIEWED,,0,44498226,Skin of other and unspecified parts of face,Spec Anatomic Site,MAPS_TO,,<auto>,1641574695978,
03300,"Whooping cough, Bordetalla Pertussis",9,,2000300325,"Hinkuyskä, Causa bacilli pertussis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,033,,,0.61,UNCHECKED,UNREVIEWED,,0,257778,Pertussis,Condition,MAPS_TO,,<auto>,1641574669343,
03310,"Whooping cough, Bordetalla parapertussis",0,,2000300326,"Hinkuyskä, Causa bacilli parapertussis",5-char ICD8fi,Condition,1970-01-01,2099-12-31,033,,,0.59,APPROVED,EQUAL,Greta,1721979414819,257778,Pertussis,Condition,MAPS_TO,,<auto>,1641574676792,
03396,"Whooping cough, Alia",0,,2000300328,"Hinkuyskä, Alia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,033,,,0.75,APPROVED,EQUAL,Greta,1721979420255,257778,Pertussis,Condition,MAPS_TO,,<auto>,1641574685971,
033,Whooping cough,0,,2000300324,Hinkuyskä,3-char ICD8fi,Condition,1970-01-01,2099-12-31,030-039,,,1.00,APPROVED,EQUAL,Javier,1641651726877,257778,Pertussis,Condition,MAPS_TO,,<auto>,1641574662904,
Y62,Well-baby and child care,0,,2000306817,Ennalta ehkäisevä lastenhoito (terveen lapsen hoito),3-char ICD8fi,Condition,1970-01-01,2099-12-31,Y60-Y69,,,0.53,APPROVED,EQUAL,Greta,1721301453054,4145320,Child health care,Observation,MAPS_TO,,<auto>,1641573686647,
Y6299,Well-baby and child care,0,,2000306818,Ennalta ehkäisevä lastenhoito (terveen lapsen hoito),5-char ICD8fi,Condition,1970-01-01,2099-12-31,Y62,,,0.53,APPROVED,EQUAL,Greta,1721301454437,4145320,Child health care,Observation,MAPS_TO,,<auto>,1641573689974,
08410,Vivax malaria (benign tertian),0,,2000300551,"Malaria (Horkka, Vilutauti), Vivax",5-char ICD8fi,Condition,1970-01-01,2099-12-31,084,,,0.75,APPROVED,EQUAL,Greta,1721050038165,433960,Vivax malaria,Condition,MAPS_TO,,<auto>,1641573023448,
26599,"Vitamin D deficiency, Unspecified",0,,2000301501,"D-vitamiinin puute, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,265,,,0.68,APPROVED,EQUAL,Greta,1721050042811,436070,Vitamin D deficiency,Condition,MAPS_TO,,<auto>,1641576364827,
26510,"Vitamin D deficiency, Rickets, late effect",0,,2000301499,"D-vitamiinin puute, Rhachitis, sequelae",5-char ICD8fi,Condition,1970-01-01,2099-12-31,265,,,0.59,APPROVED,EQUAL,Greta,1721979442804,4282453,"Vitamin D-dependent rickets, type 1",Condition,MAPS_TO,,<auto>,1641576358023,
26500,"Vitamin D deficiency, Rickets active",13,,2000301498,"D-vitamiinin puute, Riisitauti",5-char ICD8fi,Condition,1970-01-01,2099-12-31,265,,,0.66,UNCHECKED,UNREVIEWED,,0,4282453,"Vitamin D-dependent rickets, type 1",Condition,MAPS_TO,,<auto>,1641576353534,
26520,"Vitamin D deficiency, Osteomalacia",0,,2000301500,"D-vitamiinin puute, Osteomalacia",5-char ICD8fi,Condition,1970-01-01,2099-12-31,265,,,0.84,APPROVED,EQUAL,Greta,1721050059628,36713559,Osteomalacia due to vitamin D deficiency,Condition,MAPS_TO,,<auto>,1641576361883,
265,Vitamin D deficiency,0,,2000301497,D-vitamiinin puute,3-char ICD8fi,Condition,1970-01-01,2099-12-31,260-269,,,1.00,APPROVED,EQUAL,Javier,1641651726877,436070,Vitamin D deficiency,Condition,MAPS_TO,,<auto>,1641576349896,
26010,"Vitamin A deficiency, Xerophthalmia, keratomalacia",0,,2000301472,"A-vitamiin puute, Keratomalacia ex avitaminosi A",5-char ICD8fi,Condition,1970-01-01,2099-12-31,260,,4239697,0.64,APPROVED,EQUAL,Auto-remapping using OHDSI release 2024-08-29,1727395200000,4180937,Xerophthalmia,Condition,MAPS_TO,,<auto>,1727395200000,
26099,"Vitamin A deficiency, Unspecified",0,,2000301476,"A-vitamiin puute, NUD",5-char ICD8fi,Condition,1970-01-01,2099-12-31,260,,,0.66,APPROVED,EQUAL,Greta,1721051145933,438114,Vitamin A deficiency,Condition,MAPS_TO,,<auto>,1641576280150,
26000,"Vitamin A deficiency, Night blindness",0,,2000301471,"A-vitamiin puute, Nyctalopia ex avitaminosi A",5-char ICD8fi,Condition,1970-01-01,2099-12-31,260,,,0.82,APPROVED,EQUAL,Greta,1721051154173,378394,Vitamin A deficiency with night blindness,Condition,MAPS_TO,,<auto>,1641576257033,
26080,"Vitamin A deficiency, Morbus Darier ex avitaminisi A",0,,2000301473,"A-vitamiin puute, Morbus Darier ex avitaminisi A",5-char ICD8fi,Condition,1970-01-01,2099-12-31,260,,,0.55,APPROVED,EQUAL,Greta,1721301486979,438114,Vitamin A deficiency,Condition,MAPS_TO,,<auto>,1641576269237,
26081,"Vitamin A deficiency, Hemeralopia ex avitaminosi A",0,,2000301474,"A-vitamiin puute, Hemeralopia ex avitaminosi A",5-char ICD8fi,Condition,1970-01-01,2099-12-31,260,,,0.58,APPROVED,EQUAL,Greta,1721301502291,438114,Vitamin A deficiency,Condition,MAPS_TO,,<auto>,1641576274069,
26098,"Vitamin A deficiency, Alia definita",0,,2000301475,"A-vitamiin puute, Alia definita",5-char ICD8fi,Condition,1970-01-01,2099-12-31,260,,,0.74,APPROVED,EQUAL,Greta,1721051170099,438114,Vitamin A deficiency,Condition,MAPS_TO,,<auto>,1641576277164,
260,Vitamin A deficiency,0,,2000301470,A-vitamiin puute,3-char ICD8fi,Condition,1970-01-01,2099-12-31,260-269,,,1.00,APPROVED,EQUAL,Javier,1641651726877,438114,Vitamin A deficiency,Condition,MAPS_TO,,<auto>,1641576252050,
480,Viral pneumonia,0,,2000302806,,3-char ICD8fi,Condition,1970-01-01,2099-12-31,480-486,,,1.00,APPROVED,EQUAL,Javier,1641651726877,261326,Viral pneumonia,Condition,MAPS_TO,,<auto>,1641575642766,
