sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:auto_concept_id_equivalence,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptId,ADD_INFO:sourceDomain,ADD_INFO:sourceConceptClass,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:obsolete_conceptId,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
6806A,"Carbuncle and furuncle, Leg, except foot",22,36715557,unique_parent_match,CARBUNCULUS EXTREMITATIS INFERIORIS PEDE EXCEPTO,2000405376,Condition,5-char ICD9fi,1970-01-01,2099-12-31,680,,,0.83,APPROVED,EQUIVALENT,Javier,1642756805650,135027,Carbuncle of leg (excluding foot),Condition,MAPS_TO,,<auto>,1642597787284,
1174A,"Other mycoses, Mycotic mycetomas",0,194586,unique_parent_match,MYCETOMA MYCOTICUM,2000400852,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.71,APPROVED,EQUIVALENT,Javier,1642756805650,194586,Eumycotic mycetoma,Condition,MAPS_TO,,<auto>,1642597787465,
4859X,"Bronchopneumonia, organism unspecified[PNEUMONIA NUD]",2204,256722,grandparent_match,PNEUMONIA NUD,2000403973,Condition,5-char ICD9fi,1970-01-01,2099-12-31,485,,,0.52,APPROVED,NARROWER,Javier,1642756721361,256722,Bronchopneumonia,Condition,MAPS_TO,,<auto>,1642597787983,
3618X,"Retinal detachments and defects, Other forms of retinal detachment",18,378414,unique_parent_match,ABLATIO ET RUPTURA RETINAE ALIA DEFINITA,2000403229,Condition,5-char ICD9fi,1970-01-01,2099-12-31,361,,4102035,0.55,INVALID_TARGET,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Invalid existing target: 37168131,,0,Javier
487,Influenza,0,4266367,full_match,INFLUENZA,2000403974,Condition,3-char ICD9fi,1970-01-01,2099-12-31,480-487,,,1.00,APPROVED,EQUAL,Javier,1642756146926,4266367,Influenza,Condition,MAPS_TO,,<auto>,1642597789310,
1175A,"Other mycoses, Cryptococcosis",0,440035,unique_parent_match,CRYPTOCOCCOSIS,2000400853,Condition,5-char ICD9fi,1970-01-01,2099-12-31,117,,,0.73,APPROVED,EQUIVALENT,Javier,1642756805650,440035,Cryptococcosis,Condition,MAPS_TO,,<auto>,1642597789607,
1844A,"Malignant neoplasm of other and unspecified female genital organs, Vulva, unspecified",0,195197,unique_parent_match,"NEOPLASMA MALIGNUM VULVAE, LOCO NON DEFINITO",2000401600,Condition,5-char ICD9fi,1970-01-01,2099-12-31,184,,,0.60,APPROVED,EQUIVALENT,Javier,1642756805650,44505192,"Neoplasm, malignant of other specified parts of female genital organs",Condition,MAPS_TO,,<auto>,1642597790030,
6807A,"Carbuncle and furuncle, Foot",10,46269695,unique_parent_match,CARBUNCULUS PEDIS,2000405377,Condition,5-char ICD9fi,1970-01-01,2099-12-31,680,,,0.67,APPROVED,EQUIVALENT,Javier,1642756805650,141089,Carbuncle of foot,Condition,MAPS_TO,,<auto>,1642597790878,
4870A,"Influenza, With pneumonia",6,256723,unique_parent_match,INFLUENZA CUM PNEUMONIA,2000403975,Condition,5-char ICD9fi,1970-01-01,2099-12-31,487,,,0.70,APPROVED,EQUIVALENT,Javier,1642756805650,439857,Parainfluenza virus pneumonia,Condition,MAPS_TO,,<auto>,1642597791277,
3619X,"Retinal detachments and defects, Unspecified retinal detachment",20,378414,unique_parent_match,ABLATIO ET RUPTURA RETINAE NUD,2000403230,Condition,5-char ICD9fi,1970-01-01,2099-12-31,361,,4102035,0.54,INVALID_TARGET,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,Invalid existing target: 37168131,,0,Javier
