sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:obsolete_conceptId,ADD_INFO:validationMessages
-30,Medical examin/health eval complete,9142,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000101,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Laaja terveydentilan arviointi/tarkastus,,
-31,Medical examin/health eval partial,24300,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000102,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Suppea terveydentilan arviointi/tarkastus,,
-32,Sensitivity test,59,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000103,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Allergiatutkimus,,
-33,Microbiological/immunological test,464,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000104,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Mikrobiologinen/immunologinen koe,,
-34,Blood test,10069,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000105,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Veritutkimus,,
-35,Urine test,2938,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000106,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Virtsatutkimus,,
-36,Faeces test,53,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000107,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Ulostetutkimus,,
-37,Histological/exfoliative cytology,1000,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000108,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Histologinen/sytologinen tutkimus,,
-38,Other laboratory test NEC,1712,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000109,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Muu laboratoriotutkimus,,
-39,Physical function test,573,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000110,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Kliininen toimintakoe,,
-40,Diagnostic endoscopy,337,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000111,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Diagnostinen endoskopia,,
-41,Diagnostic radiology/imaging,148,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000112,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Diagnostinen kuvantaminen,,
-42,Electrical tracing,2661,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000113,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Elektrofysiologinen tutkimus,,
-43,Other diagnostic procedure,2677,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000114,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Muu tutkimustoimenpide,,
-44,Preventive immunization/medic,21856,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000115,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Rokotus / ennaltaehkäisevä lääkitys,,
-45,Observ/health educat/advice/diet,9145,,0,UNCHECKED,UNREVIEWED,Javier,1665705600000,0,Unmapped,,MAPS_TO,,,0,,2002000116,ICPC2proc,Procedure,1970-01-01,2099-12-31,,,Seuranta/terveysneuvonta/ruokavalioneuvonta,,
