sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
1001,"Pt-Adrenocorticotropin Test, Card",-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600101,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"Pt-Adrenokortikotropiini-koe, lyhyt",,
1002,"Pt-Adrenocorticotropin Test, Long",-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600102,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"Pt-Adrenokortikotropiini-koe, pitkä",,
1003,"Pt-Adrenocorticotropin test, 21-hydroxylase deficiency",-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600103,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"Pt-Adrenokortikotropiini-koe, 21-hydroksylaasi entsyymipuute",,
1004,S -Adrenocorticotropin-releasing hormone,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600104,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,S -Adrenokortikotropiini-vapauttajahormoni,,
1005,Ts -Adrenocorticotropin-Releasing Hormone,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600105,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,Ts-Adrenokortikotropiini-vapauttajahormoni,,
1006,"Actinomyces, native preparation",-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600106,LABfi Level 0,Measurement,2004-01-01,2009-12-31,,,"Actinomyces, natiivivalmiste",,
1007,"Actinomyces, cultivation",-1,,0,APPROVED,UNREVIEWED,tays,1630368000000,3028371,Actinomyces sp identified in Specimen by Organism specific culture,Measurement,MAPS_TO,,tays,1630368000000,,2000600107,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"Actinomyces, viljely",,
1008,"Actinomyces, staining",-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600108,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"Actinomyces, värjäys",,
1009,E-Adenosine triphosphate,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600109,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,E -Adenosiinitrifosfaatti,,
1010,E-Adenosine triphosphatase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600110,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,E -Adenosiinitrifosfataasi,,
1011,"F -Adenovirus, antigen",-1,,0,APPROVED,UNREVIEWED,tays,1630368000000,3020393,Adenovirus Ag [Presence] in Stool,Measurement,MAPS_TO,,tays,1630368000000,,2000600111,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"F -Adenovirus, antigeeni",,
1013,E -Adenylate kinase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600112,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,E -Adenylaattikinaasi,,
1014,Li-Adenylate Kinase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600113,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,Li-Adenylaattikinaasi,,
1015,S-Adenylate kinase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600114,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,S -Adenylaattikinaasi,,
1016,dU-Adrenaline,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600115,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,dU-Adrenaliini,,
1017,P -Adrenaline,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600116,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,P -Adrenaliini,,
1019,dU-Adrenaline + noradrenaline,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600117,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,dU-Adrenaliini + noradrenaliini,,
1020,P -Adrenocorticotropin,-1,,0,APPROVED,UNREVIEWED,TAYS ja HUS,1596153600000,3035963,Corticotropin [Moles/volume] in Plasma,Measurement,MAPS_TO,,TAYS ja HUS,1596153600000,,2000600118,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,P -Adrenokortikotropiini ,,
1021,"S -Adrenocorticotropin, antibodies",-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600119,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,"S -Adrenokortikotropiini, vasta-aineet",,
1022,Af-Alanine Aminotransferase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600120,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,Af-Alaniiniaminotransferaasi,,
1023,Li-Alanine Aminotransferase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600121,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,Li-Alaniiniaminotransferaasi,,
1024,P -Alaninaminotransferase,-1,,0,APPROVED,UNREVIEWED,TAYS ja HUS,1596153600000,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,TAYS ja HUS,1596153600000,,2000600122,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,P -Alaniiniaminotransferaasi,,
1025,Pf-Alanine Aminotransferase,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600123,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,Pf-Alaniiniaminotransferaasi,,
1026,S -Alaninaminotransferase,-1,,0,APPROVED,UNREVIEWED,HUS,1596153600000,3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,Measurement,MAPS_TO,,HUS,1596153600000,,2000600124,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,S -Alaniiniaminotransferaasi,,
1027,Li-Albumin,-1,,0,APPROVED,UNREVIEWED,TYKS,1631577600000,3024474,Albumin [Mass/volume] in Cerebral spinal fluid,Measurement,MAPS_TO,,TYKS,1631577600000,,2000600125,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,Li-Albumiini,,
1028,S -Albumin,-1,,0,APPROVED,UNREVIEWED,HUS,1596153600000,3024561,Albumin [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,,HUS,1596153600000,,2000600126,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,S -Albumiini,,
1029,U -Albumin,-1,,0,APPROVED,UNREVIEWED,TAYS ja HUS,1596153600000,3012516,Albumin [Mass/volume] in Urine,Measurement,MAPS_TO,,TAYS ja HUS,1596153600000,,2000600127,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,U -Albumiini,,
1030,U -Albumin (kval),-1,,0,APPROVED,UNREVIEWED,TAYS ja HUS,1596153600000,3025987,Albumin [Presence] in Urine,Measurement,MAPS_TO,,TAYS ja HUS,1596153600000,,2000600128,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,U -Albumiini (kval),,
1031,E-Aldolas,-1,,0,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,,2000600129,LABfi Level 0,Measurement,2004-01-01,2030-12-31,,,E -Aldolaasi,,
