sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages
46,Lymphocytes,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3002030,Lymphocytes/100 leukocytes in Blood,Measurement,MAPS_TO,,TAYS,1596153600000,,2000700101,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,Lymfosyytit,
46,Lymphocytes,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3033622,Lymphocytes/100 leukocytes in Specimen by Automated count,Measurement,MAPS_TO,,tays,1630368000000,,2000700101,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,Lymfosyytit,
39,"Eosinophils, absolute values",-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3006504,Eosinophils/100 leukocytes in Blood,Measurement,MAPS_TO,,TAYS,1596153600000,,2000700102,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,"Eosinofiilit, absol. arvot",
39,"Eosinophils, absolute values",-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3013115,Eosinophils [#/volume] in Blood,Measurement,MAPS_TO,,tays,1630368000000,,2000700102,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,"Eosinofiilit, absol. arvot",
38,"Slip-shaped, absolute values",-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3030905,Polymorphonuclear cells [#/volume] in Blood,Measurement,MAPS_TO,,TAYS,1596153600000,,2000700106,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,"Liuskatumaiset, absol. arvot",
38,"Slip-shaped, absolute values",-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3015586,Segmented neutrophils [#/volume] in Blood,Measurement,MAPS_TO,,tays,1630368000000,,2000700106,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,"Liuskatumaiset, absol. arvot",
679,Slivered,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3032035,Polymorphonuclear cells/100 leukocytes in Blood,Measurement,MAPS_TO,,TAYS,1596153600000,,2000700107,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,Liuskatumaiset,
679,Slivered,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3017354,Segmented neutrophils/100 leukocytes in Blood,Measurement,MAPS_TO,,tays,1630368000000,,2000700107,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,Liuskatumaiset,
5099,"Calcium,ionized (7.4)",-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3048816,Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Blood,Measurement,MAPS_TO,,TAYS,1596153600000,,2000700109,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,"Kalsium,ionisoitunut (7.4)",
5099,"Calcium,ionized (7.4)",-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,3016431,Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Serum or Plasma,Measurement,MAPS_TO,,tays,1630368000000,,2000700109,LABfi_TMP Level 0,Measurement,1970-01-01,2099-12-31,,,"Kalsium,ionisoitunut (7.4)",
