sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages
10,Internal Medicine,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004456,Internal Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000101,MEDSPECfi Level 0,Provider,1994-01-01,2099-12-31,,,Sisätaudit,
10A,Allergology of Internal Medicine,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38003875,Clinical and Laboratory Immunology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000102,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Sisätautien allergologia,
10E,Endocrinology of Internal Medicine,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004485,Endocrinology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000103,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Sisätautien endokrinologia,
10F,Geriatrics (Internal Medicine),-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004478,Geriatric Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000104,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Geriatria (sisätaudit),
10G,Internal Medicine Gastroenterology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004455,Gastroenterology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000105,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Sisätautien gastroenterologia,
10H,Clinical Hematology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004501,Hematology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000106,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Kliininen hematologia,
10I,Infectious Diseases,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004484,Infectious Disease,Provider,MAPS_TO,,TAYS,1596153600000,,2001000107,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Infektiosairaudet,
10K,Cardiology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004451,Cardiology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000108,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Kardiologia,
10M,Nephrology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004479,Nephrology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000109,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Nefrologia,
10R,Rheumatology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004491,Rheumatology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000110,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Reumatologia,
11,Anesthesiology and Intensive Care,-1,,0,FLAGGED,UNREVIEWED,TYKS,1638835200000,38003834,"Allopathic & Osteopathic Physicians, Anesthesiology, Critical Care Medicine",Provider,MAPS_TO,,TYKS,1638835200000,,2001000111,MEDSPECfi Level 0,Provider,1994-01-01,2099-12-31,,,Anestesiologia ja tehohoito,ERROR OUTDATED standardConcept: standardConcept for conceptId 38003834 has changed to non-standard
15,Acute Medicine,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004510,Emergency Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000112,MEDSPECfi Level 0,Provider,2013-01-01,2099-12-31,,,Akuuttilääketiede,
15E,Acute Medicine / Specialist Care,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004510,Emergency Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000113,MEDSPECfi Level 1,Provider,2013-01-01,2099-12-31,,,Akuuttilääketiede/erikoissairaanhoito,
15Y,Acute / General Medicine,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004510,Emergency Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000114,MEDSPECfi Level 1,Provider,2013-01-01,2099-12-31,,,Akuuttilääketiede/yleislääketiede,
20,Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004447,General Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000115,MEDSPECfi Level 0,Provider,1994-01-01,2099-12-31,,,Kirurgia,
20G,Gastroenterological Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,44777669,Upper gastrointestinal surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000116,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Gastroenterologinen kirurgia,
20J,Hand Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004480,Hand Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000117,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Käsikirurgia,
20L,Pediatric Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756819,Pediatric Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000118,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lastenkirurgia,
20O,Orthopedics and Traumatology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004465,Orthopedic Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000119,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Ortopedia ja traumatologia,
20P,Plastic Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004467,Plastic And Reconstructive Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000120,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Plastiikkakirurgia,
20R,Cardiac and thoracic surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756830,Thoracic and Cardiac Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000121,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Sydän- ja rintaelinkirurgia,
20T,Thorax and vascular surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004023,Thoracic Surgery (Cardiothoracic Vascular Surgery),Provider,MAPS_TO,,TAYS,1596153600000,,2001000122,MEDSPECfi Level 1,Provider,1994-01-01,2007-12-31,,,Thorax- ja verisuonikirurgia,
20U,Urology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004474,Urology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000123,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Urologia,
20V,Vascular Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004496,Vascular Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000124,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Verisuonikirurgia,
20Y,General Surgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004447,General Surgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000125,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Yleiskirurgia,
25,Neurosurgery,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004459,Neurosurgery,Provider,MAPS_TO,,TAYS,1596153600000,,2001000126,MEDSPECfi Level 0,Provider,1994-01-01,2099-12-31,,,Neurokirurgia,
30,Gynecology and childbirth,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004461,Obstetrics / Gynecology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000127,MEDSPECfi Level 0,Provider,1994-01-01,2099-12-31,,,Naistentaudit ja synnytykset,
30E,Gynecological endocrinology and andrology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756826,Reproductive Endocrinology / Infertility,Provider,MAPS_TO,,TAYS,1596153600000,,2001000128,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Gynekologinen endokrinologia ja andrologia,
30Q,Perinatology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756780,Maternal and Fetal Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000129,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Perinatologia,
30S,Radiotherapy for Gynecology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004006,Therapeutic Radiology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000130,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Naistentautien sädehoito,
30U,Gynecology Urology,-1,,0,APPROVED,UNREVIEWED,TYKS,1640044800000,38004474,Urology,Provider,MAPS_TO,,TYKS,1640044800000,,2001000131,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Naistentautien urologia,
40,Pediatrics,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,38004477,Pediatric Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000132,MEDSPECfi Level 0,Provider,1994-01-01,2099-12-31,,,Lastentaudit,
40A,Pediatric Allergology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,44777768,Paediatric Clinical Immunology and Allergy,Provider,MAPS_TO,,TAYS,1596153600000,,2001000133,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lasten allergologia,
40D,Neonatology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756786,Neonatal-Perinatal Medicine,Provider,MAPS_TO,,TAYS,1596153600000,,2001000134,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Neonatologia,
40E,Pediatric Endocrinology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756809,Pediatric Endocrinology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000135,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lastenendokrinologia,
40G,Pediatric Gastroenterology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756810,Pediatric Gastroenterology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000136,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lasten gastroenterologia,
40H,Pediatric Hematology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756811,Pediatric Hematology-Oncology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000137,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lasten hematologia,
40I,Infectious Diseases in Children,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756812,Pediatric Infectious Diseases,Provider,MAPS_TO,,TAYS,1596153600000,,2001000138,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lasten infektiosairaudet,
40K,Pediatric Cardiology,-1,,0,APPROVED,UNREVIEWED,TAYS,1596153600000,45756805,Pediatric Cardiology,Provider,MAPS_TO,,TAYS,1596153600000,,2001000139,MEDSPECfi Level 1,Provider,1994-01-01,2099-12-31,,,Lasten kardiologia,
