sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:obsolete_conceptId,ADD_INFO:validationMessages
1000-61,Mycobacterium mucogenicum,-1,,1,APPROVED,UNREVIEWED,,0,4034212,Mycobacterium mucogenicum,Observation,MAPS_TO,,,0,,2001100101,MICROBEfi Level 0,Observation,2004-01-01,2099-12-31,,,Mycobacterium mucogenicum,,
1001-49,Clostridium leptum,-1,,1,APPROVED,UNREVIEWED,,0,4284607,Clostridium leptum,Observation,MAPS_TO,,,0,,2001100102,MICROBEfi Level 0,Observation,2004-01-01,2099-12-31,,,Clostridium leptum,,
1002-17,Salmonella Carrau,-1,,1,APPROVED,UNREVIEWED,,0,4137623,Salmonella Carrau,Observation,MAPS_TO,,,0,,2001100103,MICROBEfi Level 0,Observation,1998-01-01,2099-12-31,,,Salmonella Carrau,,
1003-87,Salmonella Cannstatt,-1,,1,APPROVED,UNREVIEWED,,0,4151367,Salmonella Cannstatt,Observation,MAPS_TO,,,0,,2001100104,MICROBEfi Level 0,Observation,2006-01-01,2099-12-31,,,Salmonella Cannstatt,,
1004-23,Salmonella Agoueve,-1,,1,APPROVED,UNREVIEWED,,0,4214733,Salmonella Agoueve,Observation,MAPS_TO,,,0,,2001100105,MICROBEfi Level 0,Observation,2006-08-27,2099-12-31,,,Salmonella Agoueve,,
1005-79,Proteus penneri,-1,,1,APPROVED,UNREVIEWED,,0,4163698,Proteus penneri,Observation,MAPS_TO,,,0,,2001100106,MICROBEfi Level 0,Observation,1994-05-01,2099-12-31,,,Proteus penneri,,
1006-35,Mycobacterium agri,-1,,1,APPROVED,UNREVIEWED,,0,4104371,Mycobacterium agri,Observation,MAPS_TO,,,0,,2001100107,MICROBEfi Level 0,Observation,2008-01-01,2099-12-31,,,Mycobacterium agri,,
1007-96,Budvicia aquatica,-1,,1,APPROVED,UNREVIEWED,,0,4327811,Budvicia aquatica,Observation,MAPS_TO,,,0,,2001100108,MICROBEfi Level 0,Observation,1998-01-01,2099-12-31,,,Budvicia aquatica,,
1008-59,Salmonella Leipzig,-1,,1,APPROVED,UNREVIEWED,,0,4196957,Salmonella Leipzig,Observation,MAPS_TO,,,0,,2001100109,MICROBEfi Level 0,Observation,2007-01-01,2099-12-31,,,Salmonella Leipzig,,
1009-03,Salmonella Nchanga,-1,,1,APPROVED,UNREVIEWED,,0,4255172,Salmonella Nchanga,Observation,MAPS_TO,,,0,,2001100110,MICROBEfi Level 0,Observation,2007-01-01,2099-12-31,,,Salmonella Nchanga,,
1010-90,Salmonella Oldenburg,-1,,1,APPROVED,UNREVIEWED,,0,4240094,Salmonella Oldenburg,Observation,MAPS_TO,,,0,,2001100111,MICROBEfi Level 0,Observation,2008-01-01,2099-12-31,,,Salmonella Oldenburg,,
1011-77,Eubacterium cylindroides,-1,,1,APPROVED,UNREVIEWED,,0,4049348,Faecalitalea cylindroides,Observation,MAPS_TO,,,0,,2001100112,MICROBEfi Level 0,Observation,2004-01-01,2099-12-31,,,Eubacterium cylindroides,,
1012-50,Salmonella Oudwijk,-1,,1,APPROVED,UNREVIEWED,,0,4228919,Salmonella Oudwijk,Observation,MAPS_TO,,,0,,2001100113,MICROBEfi Level 0,Observation,2008-01-01,2099-12-31,,,Salmonella Oudwijk,,
1013-03,Capnocytophaga canimorsus,-1,,1,APPROVED,UNREVIEWED,,0,4014670,Capnocytophaga canimorsus,Observation,MAPS_TO,,,0,,2001100114,MICROBEfi Level 0,Observation,1994-05-01,2099-12-31,,,Capnocytophaga canimorsus,,
1014-31,"Salmonella enterica ssp. enterica (I), ryhmä T (O:42)",-1,,0.52,APPROVED,EQUAL,PKo,0,4228018,Salmonella group O:42,Observation,MAPS_TO,,PKo,0,,2001100115,MICROBEfi Level 0,Observation,2004-01-01,2099-12-31,,,"Salmonella enterica ssp. enterica (I), ryhmä T (O:42)",,
