sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:obsolete_conceptId
ACINETOB.CALCOACET.,ACINETOB.CALCOACET.,-1,,2001200101,ACINETOB.CALCOACET.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,1177307,Acinetobacter calcoaceticus,Meas Value,MAPS_TO,,TYKS,0,,
TRICHURIS TRICHIURA,TRICHURIS TRICHIURA,-1,,2001200102,TRICHURIS TRICHIURA,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,1177356,Trichuris trichiura,Meas Value,MAPS_TO,,TYKS,0,,
ASCARIS LUMBRICOIDES,ASCARIS LUMBRICOIDES,-1,,2001200103,ASCARIS LUMBRICOIDES,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,1177361,Ascaris lumbricoides,Meas Value,MAPS_TO,,TYKS,0,,
CLOSTR.HASTIFORME,CLOSTR.HASTIFORME,-1,,2001200104,CLOSTR.HASTIFORME,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,Auto-remapping using OHDSI release 2024-08-29,1727395200000,4327790,Tissierella praeacuta,Observation,MAPS_TO,,TYKS,1727395200000,,4000049
BUTTIAUXELLA AGREST.,BUTTIAUXELLA AGREST.,-1,,2001200105,BUTTIAUXELLA AGREST.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4001013,Buttiauxella agrestis,Observation,MAPS_TO,,TYKS,0,,
RAHNELLA AQUATILIS,RAHNELLA AQUATILIS,-1,,2001200106,RAHNELLA AQUATILIS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4001253,Rahnella aquatilis,Observation,MAPS_TO,,TYKS,0,,
ATYYPPINEN MYCOBAKT.,ATYYPPINEN MYCOBAKT.,-1,,2001200107,ATYYPPINEN MYCOBAKT.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4005145,"Mycobacterium, non-TB",Observation,MAPS_TO,,TYKS,0,,
LACTOBACILLUS CASEI,LACTOBACILLUS CASEI,-1,,2001200108,LACTOBACILLUS CASEI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4007682,Lactobacillus casei,Observation,MAPS_TO,,TYKS,0,,
CLOSTR.GLYCOLICUM,CLOSTR.GLYCOLICUM,-1,,2001200109,CLOSTR.GLYCOLICUM,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4008396,Terrisporobacter glycolicus,Observation,MAPS_TO,,TYKS,0,,
CHAETOMIUM -LAJI,CHAETOMIUM -LAJI,-1,,2001200110,CHAETOMIUM -LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4009137,Chaetomium,Observation,MAPS_TO,,TYKS,0,,
ENTEROCOC.MALODORAT.,ENTEROCOC.MALODORAT.,-1,,2001200111,ENTEROCOC.MALODORAT.,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4010027,Enterococcus malodoratus,Observation,MAPS_TO,,TYKS,0,,
FUSOBACT.MORTIFERUM,FUSOBACT.MORTIFERUM,-1,,2001200112,FUSOBACT.MORTIFERUM,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4010597,Fusobacterium mortiferum,Observation,MAPS_TO,,TYKS,0,,
SERRATIA FONTICOLA,SERRATIA FONTICOLA,-1,,2001200113,SERRATIA FONTICOLA,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4011216,Serratia fonticola,Observation,MAPS_TO,,TYKS,0,,
ENTEROCOC.RAFFINOSUS,ENTEROCOC.RAFFINOSUS,-1,,2001200114,ENTEROCOC.RAFFINOSUS,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4011481,Enterococcus raffinosus,Observation,MAPS_TO,,TYKS,0,,
PROVIDENCIA -LAJI,PROVIDENCIA -LAJI,-1,,2001200115,PROVIDENCIA -LAJI,MICROBEfi_TKU,Observation,1970-01-01,2099-12-31,,,0,APPROVED,UNREVIEWED,TYKS,1631750400000,4011684,Providencia,Observation,MAPS_TO,,TYKS,0,,
