sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
A,Nervous system,-1,,0,APPROVED,UNREVIEWED,kalleaseppala,1590969600000,4096246,Structure of nervous system,Spec Anatomic Site,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300101,NCSPfi Level 0,Procedure,1900-01-01,2030-12-31,,,Hermosto,,
AA1A,Head X-ray examination,1744,,0,FLAGGED,UNREVIEWED,tays,1596153600000,4184771,X-ray of skull,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300104,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Kallon röntgen,,
AA1AA,CT of head and brain,61318,,0,APPROVED,UNREVIEWED,tays,1596153600000,4125350,CT of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300105,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Pään tietokonetomografiatutkimus,,
AA1AG,Short MRI examination of brain with median intensity magnet,1132,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300107,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Pään suppea magneettitutkimus,,
AA1AM,Short MRI examination of brain with 3 Tesla magnet,203,,0,APPROVED,UNREVIEWED,tays,1625011200000,37311324,MRI of brain,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300108,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,AA_,,Pään suppea 3 Teslan MT,,
AA1BA,Extenxive X-ray examination of head,42,,0,APPROVED,UNREVIEWED,tays,1623974400000,4171700,Radiography of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300109,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Kallon laaja röntgen,,
AA1BD,Extensive CT of head and brain,7215,,0,APPROVED,UNREVIEWED,tays,1596153600000,4125350,CT of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300110,NCSPfi Level 3,Procedure,1999-01-01,2021-12-31,AA_,,Pään laaja tietokonetomografiatutkimus,,
AA1BF,Standard MRI examination of brain with median intensity magnet,14,,0,APPROVED,UNREVIEWED,TYKS,1624320000000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300111,NCSPfi Level 3,Procedure,1999-01-01,2016-12-31,AA_,,Pään magneettitutkimus keskikenttälaitteella,,
AA1BG,Standard MRI examination of brain with high intensity magnet,9785,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300112,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Pään magneettitutkimus,,
AA1BM,MRI examination of brain with 3 Tesla magnet,1117,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300113,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,AA_,,Pään 3 Teslan MT,,
AA1CD,Very extensive CT of head and brain,6245,,0,APPROVED,UNREVIEWED,tays,1596153600000,4125350,CT of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300114,NCSPfi Level 3,Procedure,1999-01-01,2021-12-31,AA_,,Pään erittäin laaja tietokonetomografiatutkimus,,
AA1CF,Extensive MRI examination of brain with median intensity magnet,-1,,0,APPROVED,UNREVIEWED,TYKS,1624320000000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300115,NCSPfi Level 3,Procedure,1999-01-01,2016-12-31,AA_,,Pään laaja magneettitutkimus keskikenttälaitteella,,
AA1CG,Extensive MRI examination of brain with high intensity magnet,18020,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300116,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Pään laaja magneettitutkimus,,
AA1CM,Extensive MRI examination of brain with 3 Tesla magnet,6099,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300117,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,AA_,,Pään laaja 3 Teslan MT,,
AA1DD,Head and neck CT,95,,0,APPROVED,UNREVIEWED,tays,1625011200000,4324344,CT of head and neck,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300118,NCSPfi Level 3,Procedure,2009-01-01,2030-12-31,AA_,,Pään ja kaularangan tietokonetomografiatutkimus,,
AA1DG,Very extensive MRI examination of brain with high intensity magnet,7075,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300120,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,AA_,,Pään erittäin laaja magneettitutkimus,,
AA1DM,Very extensive MRI examination of brain with 3 Tesla magnet,1482,,0,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300121,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,AA_,,Pään erittäin laaja 3 Teslan MT,,
AA1FD,Trauma CT of head and face,-1,,0,APPROVED,UNREVIEWED,TYKS,1624320000000,4075967,Examination for injuries,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,,2001300123,NCSPfi Level 3,Procedure,2018-12-01,2030-12-31,AA_,,Pään ja kasvojen trauma-tietokonetomografiatutkimus,,
