sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages
8321,Motorcycle drivers,0,,0.8,UNCHECKED,UNREVIEWED,,0,4236663,Motorcycle,Observation,MAPS_TO,,<auto>,1674726971952,,2002200688,ProfessionalCode,Provider,1970-01-01,2099-12-31,832,,Moottoripyˆr‰l‰hetit ym.,WARNING OUTDATED standardConcept: standardConcept for conceptId 4236663 has changed to non-standard
51332,Personal care workers,0,,0.83,UNCHECKED,UNREVIEWED,,0,44803823,Care worker,Observation,MAPS_TO,,<auto>,1674726974367,,2002200465,ProfessionalCode,Provider,1970-01-01,2099-12-31,5133,,Henkilˆkohtaiset avustajat ym.,
8142,Paper-pulp plant operators,0,,0.6,UNCHECKED,UNREVIEWED,,0,4298195,Paper-pulling test,Procedure,MAPS_TO,,<auto>,1674726976543,,2002200627,ProfessionalCode,Provider,1970-01-01,2099-12-31,814,,Paperimassan ja hakkeen teolliset valmistajat,
7437,Upholsterers and related workers,0,,0.79,UNCHECKED,UNREVIEWED,,0,4026867,Upholsterer AND/OR related worker,Observation,MAPS_TO,,<auto>,1674726976876,,2002200607,ProfessionalCode,Provider,1970-01-01,2099-12-31,743,,Verhoilijat,
13,Managers of small enterprises,0,,0.55,UNCHECKED,UNREVIEWED,,0,42065947,Enterprise,Geography,MAPS_TO,,<auto>,1674726979270,,2002200141,ProfessionalCode,Provider,1970-01-01,2099-12-31,1,,Pienyritysten johtajat,
8322,"Car, taxi and van drivers",0,,0.61,UNCHECKED,UNREVIEWED,,0,4265346,Taxi driver,Observation,MAPS_TO,,<auto>,1674726985823,,2002200689,ProfessionalCode,Provider,1970-01-01,2099-12-31,832,,Henkilˆ- ja pakettiautonkuljettajat,
7123,"Concrete placers, concrete finishers and related workers",0,,0.51,UNCHECKED,UNREVIEWED,,0,4036309,Metal plate worker,Observation,MAPS_TO,,<auto>,1674726986844,,2002200526,ProfessionalCode,Provider,1970-01-01,2099-12-31,712,,Raudoittajat,
314,"Ship, aircraft and harbour traffic controllers and technicians",0,,0.49,UNCHECKED,UNREVIEWED,,0,4002868,Air traffic controller,Observation,MAPS_TO,,<auto>,1674726988393,,2002200303,ProfessionalCode,Provider,1970-01-01,2099-12-31,31,,"Meri-, lento- ja satamaliiikenteen p‰‰llikˆt ja ohjaajat",
5139,Pharmaceutical assistants,0,,0.66,UNCHECKED,UNREVIEWED,,0,35615768,DE Pharmaceuticals,Observation,MAPS_TO,,<auto>,1674726989489,,2002200466,ProfessionalCode,Provider,1970-01-01,2099-12-31,513,,Apteekkien l‰‰ketyˆntekij‰t ym.,WARNING OUTDATED conceptName: conceptName for conceptId 35615768 is different in the target vocabularies
8143,Papermaking-plant operators,0,,0.52,UNCHECKED,UNREVIEWED,,0,4312334,Concrete-mixing-plant operator,Observation,MAPS_TO,,<auto>,1674726989769,,2002200628,ProfessionalCode,Provider,1970-01-01,2099-12-31,814,,Paperin ja kartongin teolliset valmistajat,
23103,Assistants and part-time lecturers,0,,0.66,UNCHECKED,UNREVIEWED,,0,45880422,Part-time,Meas Value,MAPS_TO,,<auto>,1674726991712,,2002200202,ProfessionalCode,Provider,1970-01-01,2099-12-31,2310,,Assistentit ja tuntiopettajat,
131,Managers of small enterprises,0,,0.55,UNCHECKED,UNREVIEWED,,0,42065947,Enterprise,Geography,MAPS_TO,,<auto>,1674726994538,,2002200142,ProfessionalCode,Provider,1970-01-01,2099-12-31,13,,Pienyritysten johtajat,
3141,Ships&#39; engineers,0,,0.28,UNCHECKED,UNREVIEWED,,0,4023457,Engineer,Observation,MAPS_TO,,<auto>,1674726995000,,2002200304,ProfessionalCode,Provider,1970-01-01,2099-12-31,314,,Alusten konep‰‰llikˆt ja konemestarit,
8323,Bus and tram drivers,0,,0.73,UNCHECKED,UNREVIEWED,,0,4220059,Tram driver,Observation,MAPS_TO,,<auto>,1674726997311,,2002200690,ProfessionalCode,Provider,1970-01-01,2099-12-31,832,,Linja-auton- ja raitiovaununkuljettajat,
7124,Carpenters and joiners,0,,0.6,UNCHECKED,UNREVIEWED,,0,44796115,Carpenter and joiner - Royal Engineers,Observation,MAPS_TO,,<auto>,1674727000652,,2002200527,ProfessionalCode,Provider,1970-01-01,2099-12-31,712,,Kirvesmiehet,
744,"Pelt, leather and shoemaking trades workers",0,,0.53,UNCHECKED,UNREVIEWED,,0,4140430,Leather worker,Observation,MAPS_TO,,<auto>,1674727002144,,2002200608,ProfessionalCode,Provider,1970-01-01,2099-12-31,74,,Turkisten ja nahkojen muokkaajat sek‰ suutarit,
51391,Pharmaceutical assistants,0,,0.66,UNCHECKED,UNREVIEWED,,0,35615768,DE Pharmaceuticals,Observation,MAPS_TO,,<auto>,1674727004007,,2002200467,ProfessionalCode,Provider,1970-01-01,2099-12-31,5139,,Apteekkien l‰‰ketyˆntekij‰t,WARNING OUTDATED conceptName: conceptName for conceptId 35615768 is different in the target vocabularies
815,Chemical-processing-plant operators,0,,0.56,UNCHECKED,UNREVIEWED,,0,4302761,Forging-press operator,Observation,MAPS_TO,,<auto>,1674727008439,,2002200629,ProfessionalCode,Provider,1970-01-01,2099-12-31,81,,Kemianteollisuuden prosessinhoitajat,
8324,Heavy truck and lorry drivers,0,,0.49,UNCHECKED,UNREVIEWED,,0,4203261,Driver - heavy plant,Observation,MAPS_TO,,<auto>,1674727010504,,2002200691,ProfessionalCode,Provider,1970-01-01,2099-12-31,832,,Kuorma-auton ja erikoisajoneuvojen kuljettajat,
51399,Veterinary aids,0,,0.58,UNCHECKED,UNREVIEWED,,0,4182692,Veterinary assistant,Observation,MAPS_TO,,<auto>,1674727012655,,2002200468,ProfessionalCode,Provider,1970-01-01,2099-12-31,5139,,El‰inl‰‰kint‰avustajat,
3142,Pilots and small ships&#39; officers,0,,0.27,UNCHECKED,UNREVIEWED,,0,4147398,Officer - ship,Observation,MAPS_TO,,<auto>,1674727012873,,2002200305,ProfessionalCode,Provider,1970-01-01,2099-12-31,314,,Per‰miehet ja pienten alusten p‰‰llikˆt,
232,Secondary education teaching professionals,0,,0.75,UNCHECKED,UNREVIEWED,,0,4025385,Secondary education teacher,Observation,MAPS_TO,,<auto>,1674727020080,,2002200203,ProfessionalCode,Provider,1970-01-01,2099-12-31,23,,Aineenopettajat ja lehtorit,
833,Mobile-plant operators,0,,0.53,UNCHECKED,UNREVIEWED,,0,4172132,Mobile-crane operator,Observation,MAPS_TO,,<auto>,1674727023194,,2002200692,ProfessionalCode,Provider,1970-01-01,2099-12-31,83,,Tyˆkoneiden kuljettajat,
7441,"Pelt dressers, tanners and fellmongers",0,,0.69,UNCHECKED,UNREVIEWED,,0,4026857,"Tanner, fellmonger AND/OR pelt dresser",Observation,MAPS_TO,,<auto>,1674727025791,,2002200609,ProfessionalCode,Provider,1970-01-01,2099-12-31,744,,Turkisten muokkaajat ja nahkurit,
8150,Chemical-processing-plant operators,0,,0.56,UNCHECKED,UNREVIEWED,,0,4302761,Forging-press operator,Observation,MAPS_TO,,<auto>,1674727027406,,2002200630,ProfessionalCode,Provider,1970-01-01,2099-12-31,815,,Kemianteollisuuden prosessinhoitajat,
514,Other personal services workers,0,,0.72,UNCHECKED,UNREVIEWED,,0,4017974,Service worker,Observation,MAPS_TO,,<auto>,1674727028162,,2002200469,ProfessionalCode,Provider,1970-01-01,2099-12-31,51,,Henkilˆkohtaisen palvelun tyˆntekij‰t,
7129,Building frame and related trades workers not elsewhere classified,0,,0.56,UNCHECKED,UNREVIEWED,,0,2000598,"Operation on lens, not elsewhere classified",Procedure,MAPS_TO,,<auto>,1674727029874,,2002200528,ProfessionalCode,Provider,1970-01-01,2099-12-31,712,,Muut rakennustyˆntekij‰t ja -korjaajat ym.,
7442,Shoe-makers and related workers,0,,0.49,UNCHECKED,UNREVIEWED,,0,37016772,Retired worker,Observation,MAPS_TO,,<auto>,1674727037780,,2002200610,ProfessionalCode,Provider,1970-01-01,2099-12-31,744,,"Suutarit, jalkinemallintekij‰t ym.",
1311,"Managers of small enterprises in agriculture, hunting, forestry and fishing",0,,0.6,UNCHECKED,UNREVIEWED,,0,36309758,"Agriculture, Forestry, Fishing",Meas Value,MAPS_TO,,<auto>,1674727043279,,2002200143,ProfessionalCode,Provider,1970-01-01,2099-12-31,131,,Maa- ja mets‰talousalan pienyritysten johtajat,
3143,Aircraft pilots and related associate professionals,0,,0.58,UNCHECKED,UNREVIEWED,,0,4009834,Aircraft test pilot,Observation,MAPS_TO,,<auto>,1674727044403,,2002200306,ProfessionalCode,Provider,1970-01-01,2099-12-31,314,,Lentokapteenit ja -per‰miehet,
2321,Secondary education teaching professionals,0,,0.75,UNCHECKED,UNREVIEWED,,0,4025385,Secondary education teacher,Observation,MAPS_TO,,<auto>,1674727046614,,2002200204,ProfessionalCode,Provider,1970-01-01,2099-12-31,232,,Peruskoulun ja lukion lehtorit ja tuntiopettajat,
5141,"Hairdressers, barbers, beauticians and related workers",0,,0.8,UNCHECKED,UNREVIEWED,,0,4024314,"Hairdresser, barber, beautician AND/OR related worker",Observation,MAPS_TO,,<auto>,1674727047397,,2002200470,ProfessionalCode,Provider,1970-01-01,2099-12-31,514,,"Kampaajat, parturit, kosmetologit ym.",
713,Building finishers and related trades workers,0,,0.48,UNCHECKED,UNREVIEWED,,0,4024312,"Building caretaker, charworker, cleaner AND/OR related worker",Observation,MAPS_TO,,<auto>,1674727050038,,2002200529,ProfessionalCode,Provider,1970-01-01,2099-12-31,71,,Rakennusten viimeistelytyˆntekij‰t,
8331,Motorised farm and forestry plant operators,0,,0.52,UNCHECKED,UNREVIEWED,,0,4278369,Motorized farm equipment operator,Observation,MAPS_TO,,<auto>,1674727054543,,2002200693,ProfessionalCode,Provider,1970-01-01,2099-12-31,833,,Maa- ja mets‰taloustyˆkoneiden kuljettajat,
7131,Roofers,0,,0.92,UNCHECKED,UNREVIEWED,,0,4024421,Roofer,Observation,MAPS_TO,,<auto>,1674727054622,,2002200530,ProfessionalCode,Provider,1970-01-01,2099-12-31,713,,Kattoasentajat ja -korjaajat,
8,Plant and machine operators and assemblers,0,,0.48,UNCHECKED,UNREVIEWED,,0,4204516,Press machine operator,Observation,MAPS_TO,,<auto>,1674727054701,,2002200611,ProfessionalCode,Provider,1970-01-01,2099-12-31,,,Prosessi- ja kuljetustyˆntekij‰t,
816,Power-production and related plant operators,0,,0.51,UNCHECKED,UNREVIEWED,,0,4244363,Filter-press operator,Observation,MAPS_TO,,<auto>,1674727056549,,2002200631,ProfessionalCode,Provider,1970-01-01,2099-12-31,81,,"Voimalaitosten, vesilaitosten ym. koneenhoitajat",
51411,Hairdressers and barbers,0,,0.74,UNCHECKED,UNREVIEWED,,0,4204483,Hairdresser,Observation,MAPS_TO,,<auto>,1674727060025,,2002200471,ProfessionalCode,Provider,1970-01-01,2099-12-31,5141,,Kampaajat ja parturit,
3144,Air and harbour traffic controllers,0,,0.76,UNCHECKED,UNREVIEWED,,0,4002868,Air traffic controller,Observation,MAPS_TO,,<auto>,1674727062795,,2002200307,ProfessionalCode,Provider,1970-01-01,2099-12-31,314,,Lento- ja satamaliikenteen ohjaajat,
1312,Managers of small enterprises in manufacturing,0,,0.62,UNCHECKED,UNREVIEWED,,0,36308491,Manufacturing,Meas Value,MAPS_TO,,<auto>,1674727064313,,2002200144,ProfessionalCode,Provider,1970-01-01,2099-12-31,131,,Pienteollisuuden johtajat,
51412,Beauticians,0,,0.95,UNCHECKED,UNREVIEWED,,0,4287532,Beautician,Observation,MAPS_TO,,<auto>,1674727065286,,2002200472,ProfessionalCode,Provider,1970-01-01,2099-12-31,5141,,Kauneudenhoitajat,
23211,Teachers in mathematical subjects,0,,0.5,UNCHECKED,UNREVIEWED,,0,40478917,Father of subject,Relationship,MAPS_TO,,<auto>,1674727066191,,2002200205,ProfessionalCode,Provider,1970-01-01,2099-12-31,2321,,Matemaattisten aineiden opettajat,WARNING OUTDATED standardConcept: standardConcept for conceptId 40478917 has changed to non-standard
7132,Floor layers and tile setters,0,,0.57,UNCHECKED,UNREVIEWED,,0,4173609,Tile setter,Observation,MAPS_TO,,<auto>,1674727072991,,2002200531,ProfessionalCode,Provider,1970-01-01,2099-12-31,713,,Lattianp‰‰llystystyˆntekij‰t,
8161,Power-production plant operators,0,,0.55,UNCHECKED,UNREVIEWED,,0,4230045,Power-plant operator (steam),Observation,MAPS_TO,,<auto>,1674727077040,,2002200632,ProfessionalCode,Provider,1970-01-01,2099-12-31,816,,Voimalaitosten koneenhoitajat,
