sourceCode,sourceName,sourceFrequency,sourceConceptId,sourceName_fi,sourceConceptClass,sourceDomain,sourceValidStartDate,sourceValidEndDate
1,"Legislators, senior officials and managers",0,2002200101,Johtajat ja ylimm‰t virkamiehet,Profesiona Code,Provider,1970-01-01,2099-12-31
11,Legislators and senior officials,0,2002200102,Ylimm‰t virkamiehet ja j‰rjestˆjen johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
111,Legislators and senior government officers,0,2002200103,Ylimm‰t virkamiehet,Profesiona Code,Provider,1970-01-01,2099-12-31
1110,Legislators and senior government officers,0,2002200104,Ylimm‰t virkamiehet,Profesiona Code,Provider,1970-01-01,2099-12-31
11101,Senior central government officials,0,2002200105,Valtion keskushallinnon johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
11102,Senior district and local government officials,0,2002200106,Valtion piiri- ja paikallishallinnon johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
11103,Senior local administration officials,0,2002200107,Kuntien ja kaupunkien johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
114,Senior officials of special-interest organisations,0,2002200108,J‰rjestˆjen johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1141,Senior officials of political party organisations,0,2002200109,Puolueiden johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1142,"Senior officials of employers&#39;, workers&#39; and other economic-interest organisations",0,2002200110,Tyˆmarkkina- ja elinkeinoel‰m‰n j‰rjestˆjen johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1143,Senior officials of humanitarian and other special-interest organisations,0,2002200111,Muiden j‰rjestˆjen johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
12,Corporate managers,0,2002200112,Yritysten ja muiden toimintayksikˆiden johtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
121,Directors and chief executives,0,2002200113,P‰‰johtajat ja toimitusjohtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
1210,Directors and chief executives,0,2002200114,P‰‰johtajat ja toimitusjohtajat,Profesiona Code,Provider,1970-01-01,2099-12-31
