SOURCE	Location	Original_variable_name_fi	Original_variable_name_en	Code	name_fi	name_en	valid_start_date	valid_end_date
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	1	Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito	Hospital / health center ward	34700	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	2	Päiväkirurgia	Day surgery	34700	43465
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	31	Iäkkäiden laitospalvelu	Institutional service for the elderly	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	32	Iäkkäiden tehostettu palveluasuminen	Enhanced service housing for the elderly	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	33	Dementoituneen laitoshoito	Institutional care for the demented	38718	44561
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	34	Dementoituneen tehostettu eli ympärivuorokautinen palveluasuminen	Enhanced, ie 24h per day, for the demented	38718	44561
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	38	Iäkkäiden palveluasuminen	Service housing for the elderly	44562	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	41	Kehitysvammaisten laitospalvelu	Institutional service for the mentally handicapped	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	42	Kehitysvammaisten tehostettu palveluasuminen	Enhanced service housing for the mentally handicapped	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	43	Kehitysvammaisten palveluasuminen	Service housing for the mentally handicapped	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	44	Kehitysvammaisten tuettu asuminen	Supported housing for the mentally handicapped	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	5	Päihdehuollon laitospalvelu	Substance abuse treatment facility service	34700	73050
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	6	Kuntoutuslaitoshoito	Rehabilitation facility care	34700	44561
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	7	Kotihoito	domiciliary care	34700	44561
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	8	Muu palveluala	Other service sector	34700	40543
INPAT/OUTPAT/OPER_IN/OPER_OUT	CODE5	PALA/Palveluala	Service sector	81	Palveluasuminen	Service housing	34700	44561
