sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
314,tacrolimus,0,,0.57,UNCHECKED,UNREVIEWED,,0,45766936,Nephropathy induced by tacrolimus,Condition,MAPS_TO,,<auto>,1641989877493,,2001600275,REIMB,Condition,2001-08-01,2003-11-01,,,Takrolimuusi,,
152,Nilotinib,38,,0.37,UNCHECKED,UNREVIEWED,,0,4087962,Acacia nilotica poisoning,Condition,MAPS_TO,,<auto>,1641989877553,,2001600150,REIMB,Condition,2010-08-01,2099-12-31,,,Nilotinibi,,
160,exenatide,1439,,0.49,UNCHECKED,UNREVIEWED,,0,4309376,Exencephaly,Condition,MAPS_TO,,<auto>,1641989878698,,2001600158,REIMB,Condition,2013-04-01,2016-02-29,,,Eksenatidi,,2025-03-27 |  | domainId updated from Condition to Observation
184,paclitaxel,0,,0.78,UNCHECKED,UNREVIEWED,,0,4094494,Paclitaxel poisoning,Condition,MAPS_TO,,<auto>,1641989877582,,2001600183,REIMB,Condition,1999-04-01,2007-05-01,,,Paklitakseli,,
1507,Pomalidomide,0,,0.51,UNCHECKED,UNREVIEWED,,0,4030376,Thalidomide poisoning,Condition,MAPS_TO,,<auto>,1641989877644,,2001600142,REIMB,Condition,2020-02-01,2099-12-31,,,Pomalidomidi,,
109,Multiple sclerosis,732,,1,UNCHECKED,UNREVIEWED,,0,374919,Multiple sclerosis,Condition,MAPS_TO,,<auto>,1641989877797,,2001600109,REIMB,Condition,1970-01-01,2099-12-31,,,MS-tauti,,
185,docetaxel,0,,0.48,UNCHECKED,UNREVIEWED,,0,4094494,Paclitaxel poisoning,Condition,MAPS_TO,,<auto>,1641989878090,,2001600184,REIMB,Condition,1999-04-01,2007-05-01,,,Doketakseli,,
153,Lenalidomid,268,,0.52,UNCHECKED,UNREVIEWED,,0,4030376,Thalidomide poisoning,Condition,MAPS_TO,,<auto>,1641989878100,,2001600151,REIMB,Condition,2010-10-01,2099-12-31,,,Lenalidomidi,,
315,Clopidogrel,870,,0.35,UNCHECKED,UNREVIEWED,,0,4196425,Spermatozoa progression rapid,Condition,MAPS_TO,,<auto>,1641989878118,,2001600276,REIMB,Condition,2002-02-01,2016-10-31,,,Clopidogrel,,2025-03-27 | conceptName changed from Sperm progression rapid to Spermatozoa progression rapid
1508,Lenvatinib,0,,0.33,UNCHECKED,UNREVIEWED,,0,4131789,Invalidism,Observation,MAPS_TO,,<auto>,1641989878240,,2001600143,REIMB,Condition,2020-02-01,2099-12-31,,,Lenvatinibi,,2025-03-27 | domainId updated from Condition to Observation
316,Imatinib,6,,0.37,UNCHECKED,UNREVIEWED,,0,380834,Coma,Condition,MAPS_TO,,<auto>,1641989878698,,2001600277,REIMB,Condition,2002-03-01,2099-12-31,,,Imatinibi*,,
160,Exenatide and liraglutide,1439,,0.37,UNCHECKED,UNREVIEWED,,0,4338249,Absent deglutition,Observation,MAPS_TO,,<auto>,1641989878698,,2001600159,REIMB,Condition,2016-03-01,2016-12-31,,,Eksenatidi ja liraglutidi,,2025-03-27 |  | domainId updated from Condition to Observation
154,Mecasermin,0,,0.32,UNCHECKED,UNREVIEWED,,0,40492473,Aspermia,Observation,MAPS_TO,,<auto>,1641989878779,,2001600152,REIMB,Condition,2011-02-01,2099-12-31,,,Mekasermiini,,2025-03-27 | domainId updated from Condition to Observation
1509,Dabrafenib (adjuvant treatment),0,,0.38,UNCHECKED,UNREVIEWED,,0,4138168,Adjustment reaction to medical therapy,Condition,MAPS_TO,,<auto>,1641989879224,,2001600144,REIMB,Condition,2020-02-01,2099-12-31,,,Dabrafenibi (liitännäishoito),,
381,Combination product containing sacubitril and valsartan,151,,0.28,UNCHECKED,UNREVIEWED,,0,4065737,Delivery by combination of forceps and vacuum extractor,Condition,MAPS_TO,,<auto>,1641989879325,,2001600342,REIMB,Condition,2016-07-01,2099-12-31,,,Sakubitriilin ja valsartaanin yhdistelmävalmiste*,,
110,Parkinson's disease and comparable movement disrorders,1969,,0.65,UNCHECKED,UNREVIEWED,,0,381270,Parkinson's disease,Condition,MAPS_TO,,<auto>,1641989879780,,2001600110,REIMB,Condition,1970-01-01,2099-12-31,,,Parkinsonin tauti ja siihen verrattavat liikehäiriöt,,
155,Afatinib and gefitinib,47,,0.29,UNCHECKED,UNREVIEWED,,0,40483136,Hepatitis B and hepatitis C,Condition,MAPS_TO,,<auto>,1641989879908,,2001600153,REIMB,Condition,2011-05-01,2099-12-31,,,Afatinibi ja gefitinibi,,
