sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
T13000 | M56000,SKELETAL MUSCLE NOS | DYSTROPHY NOS,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,4247802,Muscular dystrophy,Condition,MAPS_TO,,TYKS,1638835200000,,2001400101,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T12000 | M40900,"JOINT / JOINT NOS | ARTHROSIS DEFORMANS / RHEUMATIC ARTHRITIS / ARTHRITIS, RHEUMATIC NOS",-1,,0,UNCHECKED,UNREVIEWED,TYKS - based on T-Snomed (Finding Site attribute) and M-Snomed (Associated Morphology attribute) by Paula Kujala,1631664000000,80809,Rheumatoid arthritis,Condition,MAPS_TO,,TYKS - based on T-Snomed (Finding Site attribute) and M-Snomed (Associated Morphology attribute) by Paula Kujala,1631664000000,,2001400102,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
TY9700 | M31700,FOOT | DEFORMITY,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,4047269,Deformity of foot,Condition,MAPS_TO,,TYKS,1638835200000,,2001400103,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T28000 | M49000,LUNG / LUNG NOS | FIBROSIS / POSTINFLAMMATORY STATE / FIBROSIS NOS,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,4197819,Fibrosis of lung,Condition,MAPS_TO,,TYKS,1638835200000,,2001400104,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T88200 | M14430,FETAL MEMBRANES | RUPTURE,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,4015143,Spontaneous rupture of fetal membranes,Condition,MAPS_TO,,TYKS,1638835200000,,2001400105,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T28000 | M32800,LUNG / LUNG NOS | EMPHYSEMA / EMPHYSEMA NOS,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,261325,Pulmonary emphysema,Condition,MAPS_TO,,TYKS,1638835200000,,2001400106,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T88300 | M14430,AMNION | RUPTURE,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,4015143,Spontaneous rupture of fetal membranes,Condition,MAPS_TO,,TYKS,1638835200000,,2001400107,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T56000 | M49000,LIVER / Maksa / LIVER NOS | FIBROSIS / POSTINFLAMMATORY STATE / Fibrosis / FIBROSIS NOS,-1,,0,UNCHECKED,UNREVIEWED,TYKS - based on T-Snomed (Finding Site attribute) and M-Snomed (Associated Morphology attribute) by Paula Kujala,1631664000000,4267417,Hepatic fibrosis,Condition,MAPS_TO,,TYKS - based on T-Snomed (Finding Site attribute) and M-Snomed (Associated Morphology attribute) by Paula Kujala,1631664000000,,2001400108,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T68000 | M31050,RECTUM / RECTUM NOS | PROLAPSE / PROLAPSE NOS,-1,,0,APPROVED,UNREVIEWED,TYKS,1638835200000,81336,Rectal prolapse,Condition,MAPS_TO,,TYKS,1638835200000,,2001400109,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
T10350 | M31700,RIB | DEFORMITY,-1,,0,UNCHECKED,UNREVIEWED,TYKS - based on T-Snomed (Finding Site attribute) and M-Snomed (Associated Morphology attribute) by Paula Kujala,1631664000000,4185508,Deformity of rib,Condition,MAPS_TO,,TYKS - based on T-Snomed (Finding Site attribute) and M-Snomed (Associated Morphology attribute) by Paula Kujala,1631664000000,,2001400110,SNOMED2fi Level 0,Condition,1970-01-01,2099-12-31,,,,,
