sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,ADD_INFO:sourceConceptId,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,ADD_INFO:sourceParents,ADD_INFO:sourceParentVocabulary,ADD_INFO:sourceName_fi,ADD_INFO:validationMessages,ADD_INFO:autoUpdatingInfo
SPAT1272,Drug screening,1780,,0.73,APPROVED,EQUAL,THL/Gustav,1700000250637,4038126,Drug screen test method,Procedure,MAPS_TO,,<auto>,1641991316714,,2001700373,SPAT,Procedure,2009-01-01,2099-12-31,SPAT1248,,Huumeseulonta,,
SPAT1239,Family therapy,580,,1,UNCHECKED,UNREVIEWED,,0,4197269,Family therapy,Procedure,MAPS_TO,,<auto>,1641991316755,,2001700340,SPAT,Procedure,2009-01-01,2099-12-31,SPAT1214,,Perheterapia,,
SPAT1064,Management of tracheostomy stoma,69,,0.82,UNCHECKED,UNREVIEWED,,0,4262010,Tracheostomy care management,Procedure,MAPS_TO,,<auto>,1641991317038,,2001700165,SPAT,Procedure,2009-01-01,2099-12-31,SPAT1055,,Trakeostomia-avanteen hoito,,
SPAT1376,"Structural ultrasound screening, weeks 24+0",8,,0.41,UNCHECKED,EQUAL,THL/Gustav,1699910306000,4237338,Ultrasound scan for fetal anomaly,Procedure,MAPS_TO,,THL/Gustav,1699910306000,,2001700477,SPAT,Procedure,2013-01-01,2099-12-31,SPAT1302,,"Rakenneuäseulonta, viikot 24+0",,
SPAT1135,Particularly demanding anoscopy (proctoscopy/anoscopy),0,,0.42,UNCHECKED,UNREVIEWED,,0,4171571,Proctoscopy,Procedure,MAPS_TO,,<auto>,1641991317371,,2001700236,SPAT,Procedure,2009-01-01,2010-12-31,SPAT1114,,Erityisen vaativa peräaukon tähystys (proktoskopia/anoskopia),,
SPAT1343,Referral to private examination or care,0,,0.58,UNCHECKED,UNREVIEWED,,0,4062862,Private medical examination,Procedure,MAPS_TO,,<auto>,1641991317604,,2001700444,SPAT,Procedure,2009-01-01,2099-12-31,SPAT1333,,Ohjaus yksityiseen tutkimukseen tai hoitoon,,
SPAT1031,Incision or drainage of pharyngeal abscess,10,,0.8,UNCHECKED,UNREVIEWED,,0,4339493,Drainage of parapharyngeal abscess,Procedure,MAPS_TO,,<auto>,1641991317719,,2001700132,SPAT,Procedure,2009-01-01,2017-12-31,SPAT1018,,Nielupaiseen avaus tai tyhjennys,,
SPAT1377,Polysomnography,558,,1,UNCHECKED,UNREVIEWED,,0,4189015,Polysomnography,Procedure,MAPS_TO,,<auto>,1641991317898,,2001700478,SPAT,Procedure,2013-01-01,2017-12-31,SPAT1046,,Unipolygrafiatutkimus,,
SPAT1240,Therapeutic discussion,62360,,0.62,UNCHECKED,EQUAL,THL/Gustav,1699992661891,4073156,Discussion,Procedure,MAPS_TO,,<auto>,1641991317929,,2001700341,SPAT,Procedure,2009-01-01,2099-12-31,SPAT1214,,Terapeuttinen keskustelu,,
SPAT1298,Other function in accordance with nutritional therapy nomenclature,1336,,0.49,APPROVED,EQUAL,THL/Gustav,1700000479633,4298279,Nutrition therapy,Procedure,MAPS_TO,,THL/Gustav,1700000476685,,2001700399,SPAT,Procedure,2009-01-01,2017-12-31,SPAT1248,,Muu ravitsemusterapianimikkeistön mukainen toiminto,,
SPAT1136,Food exposure,9,,0.55,UNCHECKED,UNREVIEWED,,0,4071009,Surgical exposure of tooth,Procedure,MAPS_TO,,<auto>,1641991318342,,2001700237,SPAT,Procedure,2009-01-01,2017-12-31,SPAT1114,,Ruoka-ainealtistus,,
SPAT1065,Guidance concerning management of breathing,35,,0.54,UNCHECKED,UNREVIEWED,,0,44808929,Management of cancer,Procedure,MAPS_TO,,<auto>,1641991319322,,2001700166,SPAT,Procedure,2009-01-01,2010-12-31,SPAT1055,,Hengityksen hoitoon liittyvä ohjaus,,
